#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1    1.802826e+00    1.802826e+00    0.000000e+00
               2    1.804036e+00    1.803431e+00    4.278849e-04
               3    1.782911e+00    1.796591e+00    5.592065e-03
               4    1.809078e+00    1.799713e+00    4.989871e-03
               5    1.837039e+00    1.807178e+00    7.779351e-03
               6    1.807769e+00    1.807276e+00    6.483416e-03
               7    1.851732e+00    1.813627e+00    8.090324e-03
               8    1.815433e+00    1.813853e+00    7.082180e-03
               9    1.799205e+00    1.812225e+00    6.479588e-03
              10    1.769822e+00    1.807985e+00    7.084495e-03
              11    1.771674e+00    1.804684e+00    7.168361e-03
              12    1.786921e+00    1.803204e+00    6.722090e-03
              13    1.748544e+00    1.798999e+00    7.404133e-03
              14    1.796873e+00    1.798847e+00    6.876824e-03
              15    1.809403e+00    1.799551e+00    6.454272e-03
              16    1.783283e+00    1.798534e+00    6.130442e-03
              17    1.794288e+00    1.798284e+00    5.774914e-03
              18    1.805018e+00    1.798659e+00    5.466187e-03
              19    1.819427e+00    1.799752e+00    5.286652e-03
              20    1.815287e+00    1.800528e+00    5.079066e-03
              21    1.856022e+00    1.803171e+00    5.481719e-03
              22    1.799806e+00    1.803018e+00    5.234683e-03
              23    1.799021e+00    1.802844e+00    5.009972e-03
              24    1.799290e+00    1.802696e+00    4.803411e-03
              25    1.803515e+00    1.802729e+00    4.611386e-03
              26    1.853878e+00    1.804696e+00    4.835480e-03
              27    1.841939e+00    1.806076e+00    4.849140e-03
              28    1.855755e+00    1.807850e+00    4.990001e-03
              29    1.805284e+00    1.807761e+00    4.818716e-03
              30    1.815739e+00    1.808027e+00    4.665423e-03
              31    1.799566e+00    1.807754e+00    4.522903e-03
              32    1.803473e+00    1.807621e+00    4.383540e-03
              33    1.809876e+00    1.807689e+00    4.251238e-03
              34    1.776524e+00    1.806772e+00    4.223864e-03
              35    1.793146e+00    1.806383e+00    4.121086e-03
              36    1.859446e+00    1.807857e+00    4.262064e-03
              37    1.821005e+00    1.808212e+00    4.161660e-03
              38    1.822462e+00    1.808587e+00    4.069002e-03
              39    1.830636e+00    1.809153e+00    4.003751e-03
              40    1.795712e+00    1.808817e+00    3.917731e-03
