#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1   -3.957389e-01   -3.957389e-01    0.000000e+00
               2   -3.970274e-01   -3.963831e-01    4.555825e-04
               3   -3.757333e-01   -3.894999e-01    5.628381e-03
               4   -4.019458e-01   -3.926114e-01    5.008022e-03
               5   -4.299964e-01   -4.000884e-01    7.795894e-03
               6   -4.006894e-01   -4.001885e-01    6.497222e-03
               7   -4.446268e-01   -4.065369e-01    8.096796e-03
               8   -4.082235e-01   -4.067477e-01    7.087441e-03
               9   -3.919933e-01   -4.051083e-01    6.486777e-03
              10   -3.628007e-01   -4.008776e-01    7.084688e-03
              11   -3.645302e-01   -3.975733e-01    7.169902e-03
              12   -3.796860e-01   -3.960827e-01    6.725572e-03
              13   -3.413468e-01   -3.918722e-01    7.409874e-03
              14   -3.897051e-01   -3.917174e-01    6.882214e-03
              15   -4.023426e-01   -3.924258e-01    6.459750e-03
              16   -3.762507e-01   -3.914148e-01    6.134611e-03
              17   -3.871096e-01   -3.911616e-01    5.778976e-03
              18   -3.979811e-01   -3.915404e-01    5.470327e-03
              19   -4.122943e-01   -3.926327e-01    5.290347e-03
              20   -4.082183e-01   -3.934120e-01    5.082900e-03
              21   -4.489865e-01   -3.960584e-01    5.486698e-03
              22   -3.927412e-01   -3.959076e-01    5.239374e-03
              23   -3.919102e-01   -3.957338e-01    5.014457e-03
              24   -3.921255e-01   -3.955835e-01    4.807775e-03
              25   -3.964212e-01   -3.956170e-01    4.615580e-03
              26   -4.467726e-01   -3.975845e-01    4.839279e-03
              27   -4.348562e-01   -3.989650e-01    4.852943e-03
              28   -4.485841e-01   -4.007371e-01    4.992704e-03
              29   -3.982008e-01   -4.006496e-01    4.821308e-03
              30   -4.085838e-01   -4.009141e-01    4.667846e-03
              31   -3.924452e-01   -4.006409e-01    4.525257e-03
              32   -3.963842e-01   -4.005079e-01    4.385798e-03
              33   -4.027596e-01   -4.005761e-01    4.253426e-03
              34   -3.693880e-01   -3.996588e-01    4.226080e-03
              35   -3.860049e-01   -3.992687e-01    4.123302e-03
              36   -4.524497e-01   -4.007459e-01    4.265190e-03
              37   -4.140109e-01   -4.011044e-01    4.164955e-03
              38   -4.154026e-01   -4.014807e-01    4.072312e-03
              39   -4.235624e-01   -4.020469e-01    4.007061e-03
              40   -3.885999e-01   -4.017107e-01    3.920961e-03
