#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1    4.832251e-02    4.832251e-02    0.000000e+00
               2    5.022960e-02    4.927605e-02    6.742566e-04
               3    5.039664e-02    4.964958e-02    5.432038e-04
               4    5.022668e-02    4.979386e-02    4.261319e-04
               5    4.941637e-02    4.971836e-02    3.475290e-04
               6    4.927759e-02    4.964490e-02    2.972705e-04
               7    5.092308e-02    4.982749e-02    3.057831e-04
               8    4.939780e-02    4.977378e-02    2.722367e-04
               9    5.094582e-02    4.990401e-02    2.713536e-04
              10    5.016323e-02    4.992993e-02    2.454533e-04
              11    5.092806e-02    5.002067e-02    2.393245e-04
              12    5.243212e-02    5.022162e-02    2.917969e-04
              13    4.861649e-02    5.009815e-02    2.943170e-04
              14    5.056549e-02    5.013153e-02    2.751809e-04
              15    5.123865e-02    5.020534e-02    2.665499e-04
              16    5.037307e-02    5.021582e-02    2.500966e-04
              17    4.920625e-02    5.015644e-02    2.423334e-04
              18    4.991264e-02    5.014289e-02    2.292486e-04
              19    5.064425e-02    5.016928e-02    2.186962e-04
              20    5.174032e-02    5.024783e-02    2.214197e-04
              21    5.113265e-02    5.028997e-02    2.148474e-04
              22    4.996964e-02    5.027541e-02    2.055744e-04
              23    5.021032e-02    5.027258e-02    1.966558e-04
              24    5.089466e-02    5.029850e-02    1.901624e-04
              25    5.058607e-02    5.031000e-02    1.829034e-04
              26    4.857030e-02    5.024309e-02    1.877092e-04
              27    5.059529e-02    5.025613e-02    1.812097e-04
              28    4.979728e-02    5.023974e-02    1.754774e-04
              29    4.814212e-02    5.016741e-02    1.837303e-04
              30    4.905622e-02    5.013037e-02    1.813011e-04
              31    5.084036e-02    5.015328e-02    1.768933e-04
              32    5.002237e-02    5.014919e-02    1.714127e-04
              33    4.942181e-02    5.012714e-02    1.676295e-04
              34    4.930066e-02    5.010284e-02    1.644523e-04
              35    4.960875e-02    5.008872e-02    1.603584e-04
              36    5.256860e-02    5.015760e-02    1.700573e-04
              37    4.896222e-02    5.012530e-02    1.685021e-04
              38    4.933076e-02    5.010439e-02    1.653600e-04
              39    5.007009e-02    5.010351e-02    1.611223e-04
              40    4.946591e-02    5.008757e-02    1.578808e-04
