#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1    1.201884e+00    1.201884e+00    0.000000e+00
               2    1.202691e+00    1.202287e+00    2.852566e-04
               3    1.188607e+00    1.197727e+00    3.728043e-03
               4    1.206052e+00    1.199809e+00    3.326581e-03
               5    1.224692e+00    1.204785e+00    5.186234e-03
               6    1.205179e+00    1.204851e+00    4.322277e-03
               7    1.234488e+00    1.209085e+00    5.393549e-03
               8    1.210288e+00    1.209235e+00    4.721453e-03
               9    1.199470e+00    1.208150e+00    4.319725e-03
              10    1.179882e+00    1.205323e+00    4.722997e-03
              11    1.181116e+00    1.203123e+00    4.778908e-03
              12    1.191281e+00    1.202136e+00    4.481393e-03
              13    1.165696e+00    1.199333e+00    4.936089e-03
              14    1.197915e+00    1.199232e+00    4.584549e-03
              15    1.206268e+00    1.199701e+00    4.302848e-03
              16    1.188855e+00    1.199023e+00    4.086961e-03
              17    1.196192e+00    1.198856e+00    3.849943e-03
              18    1.203345e+00    1.199106e+00    3.644125e-03
              19    1.212951e+00    1.199834e+00    3.524435e-03
              20    1.210191e+00    1.200352e+00    3.386044e-03
              21    1.237348e+00    1.202114e+00    3.654479e-03
              22    1.199871e+00    1.202012e+00    3.489789e-03
              23    1.199347e+00    1.201896e+00    3.339981e-03
              24    1.199527e+00    1.201797e+00    3.202274e-03
              25    1.202344e+00    1.201819e+00    3.074258e-03
              26    1.235919e+00    1.203131e+00    3.223654e-03
              27    1.227960e+00    1.204050e+00    3.232760e-03
              28    1.237170e+00    1.205233e+00    3.326667e-03
              29    1.203523e+00    1.205174e+00    3.212477e-03
              30    1.210492e+00    1.205352e+00    3.110282e-03
              31    1.199711e+00    1.205170e+00    3.015268e-03
              32    1.202315e+00    1.205080e+00    2.922360e-03
              33    1.206584e+00    1.205126e+00    2.834159e-03
              34    1.184349e+00    1.204515e+00    2.815909e-03
              35    1.195431e+00    1.204255e+00    2.747390e-03
              36    1.239631e+00    1.205238e+00    2.841376e-03
              37    1.214003e+00    1.205475e+00    2.774440e-03
              38    1.214974e+00    1.205725e+00    2.712668e-03
              39    1.220424e+00    1.206102e+00    2.669167e-03
              40    1.197142e+00    1.205878e+00    2.611821e-03
