#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1    1.407087e+00    1.407087e+00    0.000000e+00
               2    1.407009e+00    1.407048e+00    2.769765e-05
               3    1.407178e+00    1.407091e+00    3.992233e-05
               4    1.407132e+00    1.407101e+00    3.122029e-05
               5    1.407042e+00    1.407090e+00    2.712799e-05
               6    1.407079e+00    1.407088e+00    2.265988e-05
               7    1.407105e+00    1.407090e+00    1.955697e-05
               8    1.407209e+00    1.407105e+00    2.203203e-05
               9    1.407212e+00    1.407117e+00    2.253127e-05
              10    1.407022e+00    1.407108e+00    2.220816e-05
              11    1.407144e+00    1.407111e+00    2.043328e-05
              12    1.407235e+00    1.407121e+00    2.120201e-05
              13    1.407197e+00    1.407127e+00    2.035224e-05
              14    1.407168e+00    1.407130e+00    1.910718e-05
              15    1.407060e+00    1.407125e+00    1.839219e-05
              16    1.407032e+00    1.407119e+00    1.813616e-05
              17    1.407178e+00    1.407123e+00    1.739480e-05
              18    1.407037e+00    1.407118e+00    1.707597e-05
              19    1.407132e+00    1.407119e+00    1.619377e-05
              20    1.407069e+00    1.407116e+00    1.557526e-05
              21    1.407036e+00    1.407113e+00    1.529686e-05
              22    1.407065e+00    1.407110e+00    1.475465e-05
              23    1.407111e+00    1.407110e+00    1.411316e-05
              24    1.407165e+00    1.407113e+00    1.370471e-05
              25    1.407094e+00    1.407112e+00    1.317644e-05
              26    1.407105e+00    1.407112e+00    1.267216e-05
              27    1.407083e+00    1.407111e+00    1.224704e-05
              28    1.407171e+00    1.407113e+00    1.199526e-05
              29    1.407084e+00    1.407112e+00    1.162326e-05
              30    1.407155e+00    1.407113e+00    1.132445e-05
              31    1.407121e+00    1.407113e+00    1.096178e-05
              32    1.407089e+00    1.407113e+00    1.064617e-05
              33    1.407116e+00    1.407113e+00    1.032406e-05
              34    1.407136e+00    1.407113e+00    1.004249e-05
              35    1.407141e+00    1.407114e+00    9.786408e-06
              36    1.406996e+00    1.407111e+00    1.004662e-05
              37    1.406994e+00    1.407108e+00    1.026251e-05
              38    1.407059e+00    1.407107e+00    1.007205e-05
              39    1.407074e+00    1.407106e+00    9.849225e-06
              40    1.407112e+00    1.407106e+00    9.604426e-06
