#      DISTANCE:       AVE_GOFR:          ERROR:
               0    0.000000e+00    0.000000e+00
    6.463304e-02    0.000000e+00    0.000000e+00
    1.292661e-01    0.000000e+00    0.000000e+00
    1.938991e-01    0.000000e+00    0.000000e+00
    2.585322e-01    0.000000e+00    0.000000e+00
    3.231652e-01    0.000000e+00    0.000000e+00
    3.877982e-01    0.000000e+00    0.000000e+00
    4.524313e-01    0.000000e+00    0.000000e+00
    5.170643e-01    0.000000e+00    0.000000e+00
    5.816974e-01    0.000000e+00    0.000000e+00
    6.463304e-01    0.000000e+00    0.000000e+00
    7.109634e-01    0.000000e+00    0.000000e+00
    7.755965e-01    0.000000e+00    0.000000e+00
    8.402295e-01    8.082213e-04    1.698771e-04
    9.048626e-01    1.508605e-01    3.536281e-03
    9.694956e-01    1.058262e+00    1.196353e-02
    1.034129e+00    1.967521e+00    2.172588e-02
    1.098762e+00    2.226136e+00    3.228141e-02
    1.163395e+00    2.018451e+00    2.380860e-02
    1.228028e+00    1.775880e+00    1.887661e-02
    1.292661e+00    1.559189e+00    1.720939e-02
    1.357294e+00    1.390318e+00    1.504249e-02
    1.421927e+00    1.292704e+00    1.365668e-02
    1.486560e+00    1.207211e+00    1.375770e-02
    1.551193e+00    1.165322e+00    1.140252e-02
    1.615826e+00    1.118295e+00    1.011842e-02
    1.680459e+00    1.089234e+00    1.023063e-02
    1.745092e+00    1.067770e+00    9.735223e-03
    1.809725e+00    1.063361e+00    1.017306e-02
    1.874358e+00    1.046996e+00    9.717414e-03
    1.938991e+00    1.046510e+00    8.372029e-03
    2.003624e+00    1.043897e+00    8.111410e-03
    2.068257e+00    1.047887e+00    8.812193e-03
    2.132890e+00    1.035214e+00    7.822825e-03
    2.197523e+00    1.029520e+00    8.513061e-03
    2.262156e+00    1.019308e+00    7.837684e-03
    2.326789e+00    1.019950e+00    7.441458e-03
    2.391423e+00    1.012913e+00    7.902174e-03
    2.456056e+00    1.007197e+00    7.620676e-03
    2.520689e+00    1.006501e+00    6.651277e-03
    2.585322e+00    1.002496e+00    6.727390e-03
    2.649955e+00    1.000039e+00    6.720192e-03
    2.714588e+00    1.000183e+00    6.665864e-03
    2.779221e+00    1.002647e+00    6.986401e-03
    2.843854e+00    1.000372e+00    6.332571e-03
    2.908487e+00    9.999633e-01    6.490767e-03
    2.973120e+00    1.001398e+00    6.160237e-03
    3.037753e+00    9.997262e-01    6.163127e-03
    3.102386e+00    9.974427e-01    5.503503e-03
    3.167019e+00    9.994107e-01    5.324112e-03
    3.231652e+00    9.960167e-01    5.116481e-03
    3.296285e+00    9.957942e-01    5.438277e-03
    3.360918e+00    9.948792e-01    5.230572e-03
    3.425551e+00    9.968660e-01    5.986099e-03
    3.490184e+00    9.932842e-01    5.890962e-03
    3.554817e+00    9.944582e-01    5.112172e-03
    3.619450e+00    9.961018e-01    4.746609e-03
    3.684083e+00    9.900074e-01    4.533921e-03
    3.748716e+00    9.912875e-01    4.519870e-03
    3.813349e+00    9.923690e-01    4.557804e-03
    3.877982e+00    9.933423e-01    4.679908e-03
    3.942615e+00    9.893357e-01    4.763729e-03
    4.007249e+00    9.849855e-01    4.697683e-03
    4.071882e+00    9.863026e-01    4.526128e-03
    4.136515e+00    9.873525e-01    3.929756e-03
    4.201148e+00    9.904464e-01    4.149930e-03
    4.265781e+00    9.940607e-01    4.090076e-03
    4.330414e+00    9.922516e-01    3.780637e-03
    4.395047e+00    9.906999e-01    3.869330e-03
    4.459680e+00    9.879962e-01    3.700374e-03
    4.524313e+00    9.902538e-01    3.286817e-03
    4.588946e+00    9.854430e-01    3.029715e-03
    4.653579e+00    9.836531e-01    2.676734e-03
    4.718212e+00    9.828184e-01    3.321476e-03
    4.782845e+00    9.859397e-01    2.953748e-03
    4.847478e+00    9.875785e-01    3.097320e-03
    4.912111e+00    9.870946e-01    3.477284e-03
    4.976744e+00    9.862169e-01    3.094391e-03
    5.041377e+00    9.858834e-01    2.784162e-03
    5.106010e+00    9.855741e-01    3.095477e-03
    5.170643e+00    9.864180e-01    2.942974e-03
    5.235276e+00    9.852812e-01    3.128193e-03
    5.299909e+00    9.874762e-01    2.939538e-03
    5.364542e+00    9.894663e-01    2.820442e-03
    5.429175e+00    9.885874e-01    3.043782e-03
    5.493808e+00    9.872609e-01    2.571186e-03
    5.558442e+00    9.808866e-01    2.433350e-03
    5.623075e+00    9.817956e-01    2.360735e-03
    5.687708e+00    9.847958e-01    2.700305e-03
    5.752341e+00    9.874267e-01    2.744967e-03
    5.816974e+00    9.867757e-01    2.936248e-03
    5.881607e+00    9.850328e-01    2.470716e-03
    5.946240e+00    9.833329e-01    2.672002e-03
    6.010873e+00    9.860160e-01    2.590707e-03
    6.075506e+00    9.853559e-01    2.615806e-03
    6.140139e+00    9.884972e-01    2.723625e-03
    6.204772e+00    9.876886e-01    2.679037e-03
    6.269405e+00    9.868251e-01    2.643855e-03
    6.334038e+00    9.906447e-01    2.752328e-03
    6.398671e+00    9.932846e-01    2.702031e-03
