#   N_BLOCK:     ACCEPTANCE:
           1    6.128185e-01
           2    6.136074e-01
           3    6.138340e-01
           4    6.138296e-01
           5    6.137559e-01
           6    6.137623e-01
           7    6.137738e-01
           8    6.138065e-01
           9    6.134903e-01
          10    6.135770e-01
          11    6.134825e-01
          12    6.136980e-01
          13    6.136538e-01
          14    6.136853e-01
          15    6.136849e-01
          16    6.136259e-01
          17    6.136593e-01
          18    6.136947e-01
          19    6.136973e-01
          20    6.137060e-01
          21    6.137877e-01
          22    6.138174e-01
          23    6.137986e-01
          24    6.138119e-01
          25    6.138421e-01
          26    6.139177e-01
          27    6.138472e-01
          28    6.138544e-01
          29    6.138984e-01
          30    6.139315e-01
          31    6.139389e-01
          32    6.138679e-01
          33    6.138872e-01
          34    6.138789e-01
          35    6.138695e-01
          36    6.138733e-01
          37    6.138698e-01
          38    6.138837e-01
          39    6.138432e-01
          40    6.138837e-01
          41    6.139246e-01
          42    6.139417e-01
          43    6.139559e-01
          44    6.140024e-01
          45    6.139789e-01
          46    6.140137e-01
          47    6.140051e-01
          48    6.140126e-01
          49    6.140403e-01
          50    6.140266e-01
          51    6.140364e-01
          52    6.140365e-01
          53    6.140551e-01
          54    6.140535e-01
          55    6.140347e-01
          56    6.140270e-01
          57    6.139817e-01
          58    6.139748e-01
          59    6.139516e-01
          60    6.139334e-01
          61    6.139441e-01
          62    6.139330e-01
          63    6.139489e-01
          64    6.139318e-01
          65    6.139353e-01
          66    6.139311e-01
          67    6.139195e-01
          68    6.139431e-01
          69    6.139464e-01
          70    6.139317e-01
          71    6.139320e-01
          72    6.139118e-01
          73    6.139053e-01
          74    6.139192e-01
          75    6.139022e-01
          76    6.139021e-01
          77    6.139134e-01
          78    6.139252e-01
          79    6.139241e-01
          80    6.139241e-01
          81    6.138942e-01
          82    6.138660e-01
          83    6.138543e-01
          84    6.138402e-01
          85    6.138350e-01
          86    6.138435e-01
          87    6.138562e-01
          88    6.138416e-01
          89    6.138304e-01
          90    6.138212e-01
          91    6.138196e-01
          92    6.138331e-01
          93    6.138321e-01
          94    6.138319e-01
          95    6.138104e-01
          96    6.138011e-01
          97    6.137934e-01
          98    6.137963e-01
          99    6.138028e-01
         100    6.137839e-01
