#      DISTANCE:       AVE_GOFR:          ERROR:
    0.000000e+00    0.000000e+00    0.000000e+00
    6.463304e-02    0.000000e+00    0.000000e+00
    1.292661e-01    0.000000e+00    0.000000e+00
    1.938991e-01    0.000000e+00    0.000000e+00
    2.585322e-01    0.000000e+00    0.000000e+00
    3.231652e-01    0.000000e+00    0.000000e+00
    3.877982e-01    0.000000e+00    0.000000e+00
    4.524313e-01    0.000000e+00    0.000000e+00
    5.170643e-01    0.000000e+00    0.000000e+00
    5.816974e-01    0.000000e+00    0.000000e+00
    6.463304e-01    0.000000e+00    0.000000e+00
    7.109634e-01    0.000000e+00    0.000000e+00
    7.755965e-01    0.000000e+00    0.000000e+00
    8.402295e-01    9.950103e-04    4.382078e-05
    9.048626e-01    1.478899e-01    4.471299e-04
    9.694956e-01    1.064304e+00    1.497870e-03
    1.034129e+00    2.039818e+00    2.247454e-03
    1.098762e+00    2.270367e+00    2.723120e-03
    1.163395e+00    2.085566e+00    2.202995e-03
    1.228028e+00    1.835536e+00    1.911110e-03
    1.292661e+00    1.619454e+00    1.615634e-03
    1.357294e+00    1.451445e+00    1.283377e-03
    1.421927e+00    1.333872e+00    1.228626e-03
    1.486560e+00    1.248246e+00    1.092373e-03
    1.551193e+00    1.187153e+00    9.880761e-04
    1.615826e+00    1.142913e+00    7.997910e-04
    1.680459e+00    1.111579e+00    8.002730e-04
    1.745092e+00    1.090318e+00    8.980825e-04
    1.809725e+00    1.076168e+00    7.546669e-04
    1.874358e+00    1.064976e+00    6.959731e-04
    1.938991e+00    1.060590e+00    6.859187e-04
    2.003624e+00    1.057809e+00    7.554104e-04
    2.068257e+00    1.055296e+00    6.945529e-04
    2.132890e+00    1.052995e+00    6.767593e-04
    2.197523e+00    1.047974e+00    5.783218e-04
    2.262156e+00    1.043087e+00    6.276652e-04
    2.326789e+00    1.038012e+00    5.461770e-04
    2.391423e+00    1.030944e+00    5.579374e-04
    2.456056e+00    1.025111e+00    5.782300e-04
    2.520689e+00    1.021971e+00    5.626129e-04
    2.585322e+00    1.016871e+00    5.139506e-04
    2.649955e+00    1.013017e+00    4.594301e-04
    2.714588e+00    1.010590e+00    4.606471e-04
    2.779221e+00    1.007628e+00    4.681364e-04
    2.843854e+00    1.005411e+00    4.920423e-04
    2.908487e+00    1.003246e+00    4.483496e-04
    2.973120e+00    1.000745e+00    4.300853e-04
    3.037753e+00    9.999525e-01    4.664966e-04
    3.102386e+00    9.986403e-01    4.647611e-04
    3.167019e+00    9.973482e-01    3.908404e-04
    3.231652e+00    9.965077e-01    3.679259e-04
    3.296285e+00    9.962009e-01    4.272365e-04
    3.360918e+00    9.950141e-01    4.013693e-04
    3.425551e+00    9.940693e-01    4.342603e-04
    3.490184e+00    9.936507e-01    3.767070e-04
    3.554817e+00    9.923108e-01    3.550013e-04
    3.619450e+00    9.914836e-01    3.552782e-04
    3.684083e+00    9.914521e-01    3.800702e-04
    3.748716e+00    9.907629e-01    3.735374e-04
    3.813349e+00    9.907756e-01    3.306689e-04
    3.877982e+00    9.896863e-01    3.218961e-04
    3.942615e+00    9.897943e-01    3.686265e-04
    4.007249e+00    9.896787e-01    3.818183e-04
    4.071882e+00    9.889853e-01    2.987239e-04
    4.136515e+00    9.889294e-01    2.960690e-04
    4.201148e+00    9.883107e-01    3.078537e-04
    4.265781e+00    9.883919e-01    2.673537e-04
    4.330414e+00    9.880038e-01    3.437211e-04
    4.395047e+00    9.877940e-01    2.949809e-04
    4.459680e+00    9.877381e-01    2.747266e-04
    4.524313e+00    9.870701e-01    3.157834e-04
    4.588946e+00    9.881156e-01    2.555327e-04
    4.653579e+00    9.872216e-01    2.631923e-04
    4.718212e+00    9.873229e-01    2.293642e-04
    4.782845e+00    9.871234e-01    2.829847e-04
    4.847478e+00    9.872405e-01    2.824561e-04
    4.912111e+00    9.868288e-01    2.658331e-04
    4.976744e+00    9.866235e-01    2.312133e-04
    5.041377e+00    9.866239e-01    2.494770e-04
    5.106010e+00    9.859295e-01    2.392575e-04
    5.170643e+00    9.868448e-01    2.783695e-04
    5.235276e+00    9.862526e-01    2.738745e-04
    5.299909e+00    9.867033e-01    2.249471e-04
    5.364542e+00    9.861883e-01    2.547583e-04
    5.429175e+00    9.858915e-01    2.203791e-04
    5.493808e+00    9.860631e-01    2.405552e-04
    5.558442e+00    9.860777e-01    2.252705e-04
    5.623075e+00    9.859108e-01    2.225583e-04
    5.687708e+00    9.865109e-01    2.075831e-04
    5.752341e+00    9.858797e-01    1.971852e-04
    5.816974e+00    9.857614e-01    2.316216e-04
    5.881607e+00    9.862696e-01    2.342558e-04
    5.946240e+00    9.858788e-01    2.086887e-04
    6.010873e+00    9.861778e-01    2.022604e-04
    6.075506e+00    9.858258e-01    2.137583e-04
    6.140139e+00    9.856335e-01    2.345561e-04
    6.204772e+00    9.852063e-01    1.997252e-04
    6.269405e+00    9.859840e-01    1.962890e-04
    6.334038e+00    9.854998e-01    2.063930e-04
    6.398671e+00    9.855922e-01    1.880284e-04
