#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1   -4.153721e-01   -4.153721e-01    0.000000e+00
               2   -4.141759e-01   -4.147740e-01    4.229007e-04
               3   -4.154540e-01   -4.150006e-01    3.372505e-04
               4   -4.171024e-01   -4.155261e-01    5.206197e-04
               5   -4.136502e-01   -4.151509e-01    5.348599e-04
               6   -4.151910e-01   -4.151576e-01    4.457583e-04
               7   -4.152409e-01   -4.151695e-01    3.822374e-04
               8   -4.143174e-01   -4.150630e-01    3.489837e-04
               9   -4.165507e-01   -4.152283e-01    3.471585e-04
              10   -4.122900e-01   -4.149345e-01    4.187138e-04
              11   -4.152120e-01   -4.149597e-01    3.814082e-04
              12   -4.121227e-01   -4.147233e-01    4.164971e-04
              13   -4.147541e-01   -4.147256e-01    3.844656e-04
              14   -4.143981e-01   -4.147022e-01    3.577150e-04
              15   -4.144995e-01   -4.146887e-01    3.341225e-04
              16   -4.147771e-01   -4.146943e-01    3.132855e-04
              17   -4.143679e-01   -4.146751e-01    2.954444e-04
              18   -4.135579e-01   -4.146130e-01    2.854749e-04
              19   -4.131174e-01   -4.145343e-01    2.810926e-04
              20   -4.123295e-01   -4.144240e-01    2.878440e-04
              21   -4.118797e-01   -4.143029e-01    2.985491e-04
              22   -4.121479e-01   -4.142049e-01    3.006187e-04
              23   -4.161378e-01   -4.142890e-01    2.990646e-04
              24   -4.136652e-01   -4.142630e-01    2.877309e-04
              25   -4.136857e-01   -4.142399e-01    2.771465e-04
              26   -4.116774e-01   -4.141413e-01    2.834703e-04
              27   -4.174561e-01   -4.142641e-01    2.983744e-04
              28   -4.130832e-01   -4.142219e-01    2.906837e-04
              29   -4.126778e-01   -4.141687e-01    2.854952e-04
              30   -4.121375e-01   -4.141010e-01    2.838936e-04
              31   -4.145357e-01   -4.141150e-01    2.750818e-04
              32   -4.148755e-01   -4.141388e-01    2.675102e-04
              33   -4.135589e-01   -4.141212e-01    2.599803e-04
              34   -4.159298e-01   -4.141744e-01    2.577187e-04
              35   -4.126055e-01   -4.141296e-01    2.542237e-04
              36   -4.127239e-01   -4.140905e-01    2.501428e-04
              37   -4.151523e-01   -4.141192e-01    2.450226e-04
              38   -4.129683e-01   -4.140889e-01    2.404394e-04
              39   -4.156070e-01   -4.141278e-01    2.374040e-04
              40   -4.118384e-01   -4.140706e-01    2.382685e-04
              41   -4.104297e-01   -4.139818e-01    2.484547e-04
              42   -4.121184e-01   -4.139374e-01    2.464688e-04
              43   -4.129940e-01   -4.139155e-01    2.417117e-04
              44   -4.108521e-01   -4.138459e-01    2.460412e-04
              45   -4.161896e-01   -4.138980e-01    2.460242e-04
              46   -4.130339e-01   -4.138792e-01    2.413918e-04
              47   -4.159372e-01   -4.139230e-01    2.401947e-04
              48   -4.148768e-01   -4.139428e-01    2.360112e-04
              49   -4.115199e-01   -4.138934e-01    2.363179e-04
              50   -4.141556e-01   -4.138986e-01    2.316497e-04
              51   -4.116271e-01   -4.138541e-01    2.313498e-04
              52   -4.141079e-01   -4.138590e-01    2.269522e-04
              53   -4.149994e-01   -4.138805e-01    2.236878e-04
              54   -4.157197e-01   -4.139145e-01    2.221232e-04
              55   -4.172449e-01   -4.139751e-01    2.261876e-04
              56   -4.143611e-01   -4.139820e-01    2.222535e-04
              57   -4.192895e-01   -4.140751e-01    2.370587e-04
              58   -4.157065e-01   -4.141032e-01    2.346342e-04
              59   -4.161105e-01   -4.141373e-01    2.331108e-04
              60   -4.160291e-01   -4.141688e-01    2.313483e-04
              61   -4.115307e-01   -4.141255e-01    2.315626e-04
              62   -4.147749e-01   -4.141360e-01    2.280645e-04
              63   -4.119973e-01   -4.141021e-01    2.269570e-04
              64   -4.162494e-01   -4.141356e-01    2.258773e-04
              65   -4.136915e-01   -4.141288e-01    2.225056e-04
              66   -4.152042e-01   -4.141451e-01    2.197300e-04
              67   -4.163235e-01   -4.141776e-01    2.188429e-04
              68   -4.131144e-01   -4.141620e-01    2.161824e-04
              69   -4.133248e-01   -4.141498e-01    2.133895e-04
              70   -4.140984e-01   -4.141491e-01    2.103424e-04
              71   -4.157833e-01   -4.141721e-01    2.086354e-04
              72   -4.160677e-01   -4.141984e-01    2.073922e-04
              73   -4.142492e-01   -4.141991e-01    2.045524e-04
              74   -4.144049e-01   -4.142019e-01    2.018071e-04
              75   -4.166976e-01   -4.142352e-01    2.018411e-04
              76   -4.149038e-01   -4.142440e-01    1.993769e-04
              77   -4.120408e-01   -4.142154e-01    1.988302e-04
              78   -4.127198e-01   -4.141962e-01    1.972035e-04
              79   -4.152725e-01   -4.142098e-01    1.951773e-04
              80   -4.148033e-01   -4.142172e-01    1.928785e-04
              81   -4.174987e-01   -4.142578e-01    1.947054e-04
              82   -4.172596e-01   -4.142944e-01    1.957422e-04
              83   -4.141485e-01   -4.142926e-01    1.933918e-04
              84   -4.150284e-01   -4.143014e-01    1.912878e-04
              85   -4.154400e-01   -4.143148e-01    1.895058e-04
              86   -4.127098e-01   -4.142961e-01    1.882189e-04
              87   -4.133584e-01   -4.142853e-01    1.863638e-04
              88   -4.168986e-01   -4.143150e-01    1.865970e-04
              89   -4.134893e-01   -4.143057e-01    1.847309e-04
              90   -4.160353e-01   -4.143250e-01    1.836752e-04
              91   -4.120472e-01   -4.142999e-01    1.833544e-04
              92   -4.124402e-01   -4.142797e-01    1.824722e-04
              93   -4.145467e-01   -4.142826e-01    1.805328e-04
              94   -4.152129e-01   -4.142925e-01    1.788833e-04
              95   -4.172643e-01   -4.143238e-01    1.797147e-04
              96   -4.148854e-01   -4.143296e-01    1.779379e-04
              97   -4.144305e-01   -4.143307e-01    1.761065e-04
              98   -4.148853e-01   -4.143363e-01    1.744005e-04
              99   -4.135400e-01   -4.143283e-01    1.728242e-04
             100   -4.162477e-01   -4.143475e-01    1.721585e-04
