#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1    4.866849e-02    4.866849e-02    0.000000e+00
               2    4.886979e-02    4.876914e-02    7.116865e-05
               3    4.895073e-02    4.882967e-02    6.851077e-05
               4    4.888436e-02    4.884334e-02    5.272983e-05
               5    4.901780e-02    4.887823e-02    5.247322e-05
               6    4.909665e-02    4.891464e-02    5.492207e-05
               7    4.913889e-02    4.894667e-02    5.564011e-05
               8    4.865760e-02    4.891054e-02    5.926820e-05
               9    4.891484e-02    4.891102e-02    5.268478e-05
              10    4.896604e-02    4.891652e-02    4.770275e-05
              11    4.895155e-02    4.891970e-02    4.347231e-05
              12    4.894493e-02    4.892181e-02    3.990041e-05
              13    4.918366e-02    4.894195e-02    4.160574e-05
              14    4.903460e-02    4.894857e-02    3.915672e-05
              15    4.920920e-02    4.896594e-02    4.021718e-05
              16    4.903018e-02    4.896996e-02    3.790348e-05
              17    4.886609e-02    4.896385e-02    3.616290e-05
              18    4.906126e-02    4.896926e-02    3.455642e-05
              19    4.922004e-02    4.898246e-02    3.516808e-05
              20    4.882834e-02    4.897475e-02    3.424355e-05
              21    4.908270e-02    4.897989e-02    3.299650e-05
              22    4.896776e-02    4.897934e-02    3.150126e-05
              23    4.910718e-02    4.898490e-02    3.061810e-05
              24    4.906633e-02    4.898829e-02    2.952975e-05
              25    4.889433e-02    4.898453e-02    2.858675e-05
              26    4.914743e-02    4.899080e-02    2.816544e-05
              27    4.896496e-02    4.898984e-02    2.713852e-05
              28    4.913678e-02    4.899509e-02    2.667186e-05
              29    4.898316e-02    4.899468e-02    2.575531e-05
              30    4.913691e-02    4.899942e-02    2.532943e-05
              31    4.896835e-02    4.899842e-02    2.453217e-05
              32    4.917208e-02    4.900384e-02    2.435843e-05
              33    4.914896e-02    4.900824e-02    2.401394e-05
              34    4.882904e-02    4.900297e-02    2.387906e-05
              35    4.925045e-02    4.901004e-02    2.422102e-05
              36    4.903866e-02    4.901084e-02    2.356125e-05
              37    4.888801e-02    4.900752e-02    2.315712e-05
              38    4.895076e-02    4.900602e-02    2.259584e-05
              39    4.893176e-02    4.900412e-02    2.209654e-05
              40    4.909180e-02    4.900631e-02    2.165258e-05
              41    4.908906e-02    4.900833e-02    2.121831e-05
              42    4.900967e-02    4.900836e-02    2.071314e-05
              43    4.887117e-02    4.900517e-02    2.047570e-05
              44    4.900149e-02    4.900509e-02    2.001051e-05
              45    4.867527e-02    4.899776e-02    2.086497e-05
              46    4.904790e-02    4.899885e-02    2.043984e-05
              47    4.883694e-02    4.899540e-02    2.029317e-05
              48    4.904191e-02    4.899637e-02    1.989351e-05
              49    4.897965e-02    4.899603e-02    1.949045e-05
              50    4.902285e-02    4.899657e-02    1.910802e-05
              51    4.895050e-02    4.899566e-02    1.875469e-05
              52    4.900233e-02    4.899579e-02    1.839446e-05
              53    4.908401e-02    4.899746e-02    1.812255e-05
              54    4.897082e-02    4.899696e-02    1.779366e-05
              55    4.895499e-02    4.899620e-02    1.748649e-05
              56    4.909385e-02    4.899794e-02    1.726096e-05
              57    4.884022e-02    4.899518e-02    1.717850e-05
              58    4.892196e-02    4.899391e-02    1.692864e-05
              59    4.919461e-02    4.899732e-02    1.698002e-05
              60    4.908649e-02    4.899880e-02    1.676193e-05
              61    4.881797e-02    4.899584e-02    1.674724e-05
              62    4.918959e-02    4.899896e-02    1.676617e-05
              63    4.911865e-02    4.900086e-02    1.660733e-05
              64    4.873685e-02    4.899674e-02    1.685238e-05
              65    4.890291e-02    4.899529e-02    1.665482e-05
              66    4.911596e-02    4.899712e-02    1.650252e-05
              67    4.894232e-02    4.899630e-02    1.627647e-05
              68    4.899066e-02    4.899622e-02    1.603732e-05
              69    4.927532e-02    4.900027e-02    1.630702e-05
              70    4.903902e-02    4.900082e-02    1.608346e-05
              71    4.904323e-02    4.900142e-02    1.586802e-05
              72    4.894693e-02    4.900066e-02    1.566566e-05
              73    4.893173e-02    4.899972e-02    1.547949e-05
              74    4.906444e-02    4.900059e-02    1.529500e-05
              75    4.901626e-02    4.900080e-02    1.509249e-05
              76    4.890193e-02    4.899950e-02    1.494987e-05
              77    4.885642e-02    4.899764e-02    1.487075e-05
              78    4.902576e-02    4.899800e-02    1.468447e-05
              79    4.913747e-02    4.899977e-02    1.460433e-05
              80    4.890037e-02    4.899852e-02    1.447453e-05
              81    4.891817e-02    4.899753e-02    1.432978e-05
              82    4.911903e-02    4.899901e-02    1.423143e-05
              83    4.904836e-02    4.899961e-02    1.407238e-05
              84    4.908947e-02    4.900068e-02    1.394545e-05
              85    4.901151e-02    4.900081e-02    1.378197e-05
              86    4.880141e-02    4.899849e-02    1.381536e-05
              87    4.918771e-02    4.900066e-02    1.382671e-05
              88    4.892701e-02    4.899983e-02    1.369490e-05
              89    4.906027e-02    4.900050e-02    1.355785e-05
              90    4.916339e-02    4.900231e-02    1.352748e-05
              91    4.918184e-02    4.900429e-02    1.352192e-05
              92    4.932124e-02    4.900773e-02    1.380683e-05
              93    4.908115e-02    4.900852e-02    1.368093e-05
              94    4.902693e-02    4.900872e-02    1.353679e-05
              95    4.893921e-02    4.900799e-02    1.341405e-05
              96    4.915629e-02    4.900953e-02    1.336298e-05
              97    4.884244e-02    4.900781e-02    1.333578e-05
              98    4.892417e-02    4.900695e-02    1.322698e-05
              99    4.948420e-02    4.901178e-02    1.394419e-05
             100    4.902597e-02    4.901192e-02    1.380547e-05
