#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1    1.651332e+00    1.651332e+00    0.000000e+00
               2    1.621578e+00    1.636455e+00    1.051973e-02
               3    1.652762e+00    1.641890e+00    8.299535e-03
               4    1.667108e+00    1.648195e+00    8.279873e-03
               5    1.646551e+00    1.647866e+00    6.630426e-03
               6    1.631269e+00    1.645100e+00    6.075062e-03
               7    1.668982e+00    1.648512e+00    6.090331e-03
               8    1.673145e+00    1.651591e+00    6.057628e-03
               9    1.649089e+00    1.651313e+00    5.390931e-03
              10    1.662911e+00    1.652473e+00    4.975030e-03
              11    1.670225e+00    1.654086e+00    4.777359e-03
              12    1.612905e+00    1.650655e+00    5.474797e-03
              13    1.634011e+00    1.649374e+00    5.201195e-03
              14    1.658187e+00    1.650004e+00    4.867620e-03
              15    1.619635e+00    1.647979e+00    4.946263e-03
              16    1.632829e+00    1.647032e+00    4.726884e-03
              17    1.653371e+00    1.647405e+00    4.463514e-03
              18    1.657342e+00    1.647957e+00    4.249542e-03
              19    1.644657e+00    1.647784e+00    4.029431e-03
              20    1.640793e+00    1.647434e+00    3.843091e-03
              21    1.642105e+00    1.647180e+00    3.668456e-03
              22    1.680397e+00    1.648690e+00    3.799741e-03
              23    1.641275e+00    1.648368e+00    3.648185e-03
              24    1.639721e+00    1.648008e+00    3.513924e-03
              25    1.628507e+00    1.647228e+00    3.458857e-03
              26    1.650655e+00    1.647359e+00    3.328335e-03
              27    1.655864e+00    1.647674e+00    3.219934e-03
              28    1.674664e+00    1.648638e+00    3.246010e-03
              29    1.619098e+00    1.647620e+00    3.290029e-03
              30    1.646013e+00    1.647566e+00    3.180797e-03
              31    1.636071e+00    1.647195e+00    3.099729e-03
              32    1.623326e+00    1.646449e+00    3.091311e-03
              33    1.634522e+00    1.646088e+00    3.018691e-03
              34    1.621603e+00    1.645368e+00    3.014585e-03
              35    1.664644e+00    1.645918e+00    2.978339e-03
              36    1.651868e+00    1.646084e+00    2.900189e-03
              37    1.649391e+00    1.646173e+00    2.823183e-03
              38    1.645201e+00    1.646148e+00    2.749004e-03
              39    1.639476e+00    1.645976e+00    2.683834e-03
              40    1.658340e+00    1.646286e+00    2.634478e-03
