#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1   -5.029887e+00   -5.029887e+00    0.000000e+00
               2   -4.999226e+00   -5.014556e+00    1.084001e-02
               3   -5.030839e+00   -5.019984e+00    8.477242e-03
               4   -5.046721e+00   -5.026668e+00    8.598446e-03
               5   -5.025502e+00   -5.026435e+00    6.881922e-03
               6   -5.009562e+00   -5.023623e+00    6.283311e-03
               7   -5.048310e+00   -5.027150e+00    6.298159e-03
               8   -5.051746e+00   -5.030224e+00    6.216204e-03
               9   -5.027918e+00   -5.029968e+00    5.530791e-03
              10   -5.042976e+00   -5.031269e+00    5.128393e-03
              11   -5.048879e+00   -5.032870e+00    4.905696e-03
              12   -4.989811e+00   -5.029281e+00    5.658994e-03
              13   -5.011009e+00   -5.027876e+00    5.395429e-03
              14   -5.037930e+00   -5.028594e+00    5.057610e-03
              15   -4.998315e+00   -5.026575e+00    5.107401e-03
              16   -5.010359e+00   -5.025562e+00    4.887719e-03
              17   -5.031339e+00   -5.025902e+00    4.612007e-03
              18   -5.036705e+00   -5.026502e+00    4.394664e-03
              19   -5.022195e+00   -5.026275e+00    4.169209e-03
              20   -5.019729e+00   -5.025948e+00    3.973576e-03
              21   -5.019910e+00   -5.025660e+00    3.794745e-03
              22   -5.059579e+00   -5.027202e+00    3.922971e-03
              23   -5.018611e+00   -5.026829e+00    3.770148e-03
              24   -5.017801e+00   -5.026452e+00    3.631776e-03
              25   -5.004967e+00   -5.025593e+00    3.586749e-03
              26   -5.028669e+00   -5.025711e+00    3.450748e-03
              27   -5.034851e+00   -5.026050e+00    3.339503e-03
              28   -5.053827e+00   -5.027042e+00    3.364356e-03
              29   -4.996630e+00   -5.025993e+00    3.407865e-03
              30   -5.023116e+00   -5.025897e+00    3.295619e-03
              31   -5.014110e+00   -5.025517e+00    3.211168e-03
              32   -5.002208e+00   -5.024789e+00    3.192361e-03
              33   -5.013512e+00   -5.024447e+00    3.113859e-03
              34   -4.999632e+00   -5.023717e+00    3.106630e-03
              35   -5.043434e+00   -5.024280e+00    3.068519e-03
              36   -5.030879e+00   -5.024464e+00    2.988751e-03
              37   -5.027551e+00   -5.024547e+00    2.909139e-03
              38   -5.023465e+00   -5.024519e+00    2.832722e-03
              39   -5.017312e+00   -5.024334e+00    2.766108e-03
              40   -5.038127e+00   -5.024679e+00    2.718363e-03
