#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1    2.065656e+00    2.065656e+00    0.000000e+00
               2    2.232180e+00    2.148918e+00    5.887528e-02
               3    2.156262e+00    2.151366e+00    3.930104e-02
               4    2.013259e+00    2.116839e+00    4.198678e-02
               5    2.114879e+00    2.116447e+00    3.359126e-02
               6    2.184137e+00    2.127729e+00    2.982707e-02
               7    2.035779e+00    2.114593e+00    2.831112e-02
               8    2.069812e+00    2.108996e+00    2.531957e-02
               9    2.115812e+00    2.109753e+00    2.251761e-02
              10    1.978192e+00    2.096597e+00    2.380082e-02
              11    2.084600e+00    2.095506e+00    2.166209e-02
              12    2.384040e+00    2.119551e+00    3.040159e-02
              13    2.225998e+00    2.127739e+00    2.914485e-02
              14    2.040549e+00    2.121511e+00    2.772049e-02
              15    2.204249e+00    2.127027e+00    2.641553e-02
              16    2.200477e+00    2.131618e+00    2.516029e-02
              17    2.195794e+00    2.135393e+00    2.396181e-02
              18    2.038708e+00    2.130021e+00    2.322483e-02
              19    2.171892e+00    2.132225e+00    2.210677e-02
              20    2.107285e+00    2.130978e+00    2.103657e-02
              21    2.154083e+00    2.132078e+00    2.006358e-02
              22    2.085395e+00    2.129956e+00    1.926349e-02
              23    2.159786e+00    2.131253e+00    1.846956e-02
              24    2.159672e+00    2.132437e+00    1.773791e-02
              25    2.200604e+00    2.135164e+00    1.723669e-02
              26    2.117758e+00    2.134495e+00    1.658674e-02
              27    2.039234e+00    2.130966e+00    1.634334e-02
              28    2.040086e+00    2.127721e+00    1.607872e-02
              29    2.225702e+00    2.131099e+00    1.587530e-02
              30    2.225200e+00    2.134236e+00    1.565293e-02
              31    2.151673e+00    2.134799e+00    1.515810e-02
              32    2.156264e+00    2.135469e+00    1.469925e-02
              33    2.207528e+00    2.137653e+00    1.441509e-02
              34    2.231129e+00    2.140402e+00    1.425088e-02
              35    2.141703e+00    2.140439e+00    1.384376e-02
              36    2.157865e+00    2.140923e+00    1.346767e-02
              37    2.186796e+00    2.142163e+00    1.316062e-02
              38    2.127900e+00    2.141788e+00    1.281964e-02
              39    2.153093e+00    2.142078e+00    1.249421e-02
              40    2.048471e+00    2.139738e+00    1.239908e-02
