#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1    1.100888e+00    1.100888e+00    0.000000e+00
               2    1.081052e+00    1.090970e+00    7.013156e-03
               3    1.101841e+00    1.094594e+00    5.533023e-03
               4    1.111406e+00    1.098797e+00    5.519915e-03
               5    1.097700e+00    1.098577e+00    4.420284e-03
               6    1.087512e+00    1.096733e+00    4.050041e-03
               7    1.112655e+00    1.099008e+00    4.060220e-03
               8    1.115430e+00    1.101061e+00    4.038418e-03
               9    1.099393e+00    1.100875e+00    3.593954e-03
              10    1.108607e+00    1.101648e+00    3.316687e-03
              11    1.113484e+00    1.102724e+00    3.184906e-03
              12    1.075270e+00    1.100436e+00    3.649864e-03
              13    1.089341e+00    1.099583e+00    3.467463e-03
              14    1.105458e+00    1.100003e+00    3.245080e-03
              15    1.079757e+00    1.098653e+00    3.297509e-03
              16    1.088553e+00    1.098022e+00    3.151256e-03
              17    1.102247e+00    1.098270e+00    2.975676e-03
              18    1.104895e+00    1.098638e+00    2.833028e-03
              19    1.096438e+00    1.098522e+00    2.686287e-03
              20    1.093862e+00    1.098289e+00    2.562061e-03
              21    1.094737e+00    1.098120e+00    2.445637e-03
              22    1.120265e+00    1.099127e+00    2.533161e-03
              23    1.094184e+00    1.098912e+00    2.432123e-03
              24    1.093147e+00    1.098672e+00    2.342616e-03
              25    1.085671e+00    1.098152e+00    2.305905e-03
              26    1.100437e+00    1.098240e+00    2.218890e-03
              27    1.103909e+00    1.098450e+00    2.146623e-03
              28    1.116443e+00    1.099092e+00    2.164007e-03
              29    1.079398e+00    1.098413e+00    2.193353e-03
              30    1.097342e+00    1.098377e+00    2.120531e-03
              31    1.090714e+00    1.098130e+00    2.066486e-03
              32    1.082217e+00    1.097633e+00    2.060874e-03
              33    1.089681e+00    1.097392e+00    2.012461e-03
              34    1.081068e+00    1.096912e+00    2.009723e-03
              35    1.109763e+00    1.097279e+00    1.985559e-03
              36    1.101245e+00    1.097389e+00    1.933459e-03
              37    1.099594e+00    1.097449e+00    1.882122e-03
              38    1.096801e+00    1.097432e+00    1.832669e-03
              39    1.092984e+00    1.097318e+00    1.789223e-03
              40    1.105560e+00    1.097524e+00    1.756318e-03
