#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1   -3.378555e+00   -3.378555e+00    0.000000e+00
               2   -3.377649e+00   -3.378102e+00    3.202731e-04
               3   -3.378077e+00   -3.378094e+00    2.136192e-04
               4   -3.379613e+00   -3.378473e+00    3.658698e-04
               5   -3.378951e+00   -3.378569e+00    3.049096e-04
               6   -3.378293e+00   -3.378523e+00    2.575329e-04
               7   -3.379328e+00   -3.378638e+00    2.450715e-04
               8   -3.378601e+00   -3.378633e+00    2.144811e-04
               9   -3.378829e+00   -3.378655e+00    1.917520e-04
              10   -3.380065e+00   -3.378796e+00    2.183381e-04
              11   -3.378653e+00   -3.378783e+00    1.988735e-04
              12   -3.376906e+00   -3.378627e+00    2.359326e-04
              13   -3.376997e+00   -3.378501e+00    2.488659e-04
              14   -3.379743e+00   -3.378590e+00    2.463920e-04
              15   -3.378680e+00   -3.378596e+00    2.300388e-04
              16   -3.377529e+00   -3.378529e+00    2.251134e-04
              17   -3.377968e+00   -3.378496e+00    2.142773e-04
              18   -3.379363e+00   -3.378544e+00    2.077122e-04
              19   -3.377538e+00   -3.378492e+00    2.034236e-04
              20   -3.378936e+00   -3.378514e+00    1.944634e-04
              21   -3.377805e+00   -3.378480e+00    1.881066e-04
              22   -3.379182e+00   -3.378512e+00    1.822389e-04
              23   -3.377336e+00   -3.378461e+00    1.813506e-04
              24   -3.378080e+00   -3.378445e+00    1.744869e-04
              25   -3.376460e+00   -3.378365e+00    1.846915e-04
              26   -3.378014e+00   -3.378352e+00    1.780808e-04
              27   -3.378987e+00   -3.378375e+00    1.730291e-04
              28   -3.379163e+00   -3.378404e+00    1.691182e-04
              29   -3.377532e+00   -3.378374e+00    1.659337e-04
              30   -3.377102e+00   -3.378331e+00    1.657239e-04
              31   -3.378039e+00   -3.378322e+00    1.606452e-04
              32   -3.378883e+00   -3.378339e+00    1.565792e-04
              33   -3.378990e+00   -3.378359e+00    1.530705e-04
              34   -3.378030e+00   -3.378349e+00    1.488746e-04
              35   -3.378790e+00   -3.378362e+00    1.451513e-04
              36   -3.379011e+00   -3.378380e+00    1.422343e-04
              37   -3.378160e+00   -3.378374e+00    1.385145e-04
              38   -3.378264e+00   -3.378371e+00    1.348996e-04
              39   -3.377836e+00   -3.378357e+00    1.321354e-04
              40   -3.379787e+00   -3.378393e+00    1.335758e-04
