#      DISTANCE:       AVE_GOFR:          ERROR:
               0    0.000000e+00    0.000000e+00
    2.564964e-02    0.000000e+00    0.000000e+00
    5.129928e-02    0.000000e+00    0.000000e+00
    7.694892e-02    0.000000e+00    0.000000e+00
    1.025986e-01    0.000000e+00    0.000000e+00
    1.282482e-01    0.000000e+00    0.000000e+00
    1.538978e-01    0.000000e+00    0.000000e+00
    1.795475e-01    0.000000e+00    0.000000e+00
    2.051971e-01    0.000000e+00    0.000000e+00
    2.308468e-01    0.000000e+00    0.000000e+00
    2.564964e-01    0.000000e+00    0.000000e+00
    2.821460e-01    0.000000e+00    0.000000e+00
    3.077957e-01    0.000000e+00    0.000000e+00
    3.334453e-01    0.000000e+00    0.000000e+00
    3.590949e-01    0.000000e+00    0.000000e+00
    3.847446e-01    0.000000e+00    0.000000e+00
    4.103942e-01    0.000000e+00    0.000000e+00
    4.360439e-01    0.000000e+00    0.000000e+00
    4.616935e-01    0.000000e+00    0.000000e+00
    4.873431e-01    0.000000e+00    0.000000e+00
    5.129928e-01    0.000000e+00    0.000000e+00
    5.386424e-01    0.000000e+00    0.000000e+00
    5.642921e-01    0.000000e+00    0.000000e+00
    5.899417e-01    0.000000e+00    0.000000e+00
    6.155913e-01    0.000000e+00    0.000000e+00
    6.412410e-01    0.000000e+00    0.000000e+00
    6.668906e-01    0.000000e+00    0.000000e+00
    6.925403e-01    0.000000e+00    0.000000e+00
    7.181899e-01    0.000000e+00    0.000000e+00
    7.438395e-01    0.000000e+00    0.000000e+00
    7.694892e-01    0.000000e+00    0.000000e+00
    7.951388e-01    0.000000e+00    0.000000e+00
    8.207885e-01    0.000000e+00    0.000000e+00
    8.464381e-01    1.264399e-05    6.157810e-06
    8.720877e-01    1.327158e-03    8.398459e-05
    8.977374e-01    2.488548e-02    4.355258e-04
    9.233870e-01    1.688671e-01    1.043488e-03
    9.490367e-01    5.763855e-01    2.008894e-03
    9.746863e-01    1.221138e+00    2.928150e-03
    1.000336e+00    1.882751e+00    3.913571e-03
    1.025986e+00    2.348262e+00    4.281391e-03
    1.051635e+00    2.554679e+00    4.218988e-03
    1.077285e+00    2.552260e+00    4.357045e-03
    1.102934e+00    2.402542e+00    3.965743e-03
    1.128584e+00    2.189006e+00    3.558180e-03
    1.154234e+00    1.963414e+00    3.670094e-03
    1.179883e+00    1.744086e+00    3.428278e-03
    1.205533e+00    1.550353e+00    3.495136e-03
    1.231183e+00    1.381144e+00    3.148145e-03
    1.256832e+00    1.238541e+00    3.141033e-03
    1.282482e+00    1.117439e+00    2.844064e-03
    1.308132e+00    1.016712e+00    2.494683e-03
    1.333781e+00    9.335108e-01    2.521843e-03
    1.359431e+00    8.687444e-01    2.313627e-03
    1.385081e+00    8.116290e-01    2.132172e-03
    1.410730e+00    7.745787e-01    2.107714e-03
    1.436380e+00    7.402581e-01    2.053013e-03
    1.462029e+00    7.115069e-01    2.015962e-03
    1.487679e+00    6.903387e-01    1.955175e-03
    1.513329e+00    6.782222e-01    1.914100e-03
    1.538978e+00    6.736645e-01    2.107429e-03
    1.564628e+00    6.722233e-01    1.943552e-03
    1.590278e+00    6.754205e-01    1.881001e-03
    1.615927e+00    6.885237e-01    1.882673e-03
    1.641577e+00    7.041160e-01    1.819856e-03
    1.667227e+00    7.252476e-01    1.789693e-03
    1.692876e+00    7.507200e-01    1.761871e-03
    1.718526e+00    7.839388e-01    1.920241e-03
    1.744175e+00    8.220912e-01    1.889493e-03
    1.769825e+00    8.601950e-01    1.860374e-03
    1.795475e+00    8.985096e-01    1.928182e-03
    1.821124e+00    9.408663e-01    2.004874e-03
    1.846774e+00    9.799217e-01    2.174185e-03
    1.872424e+00    1.024034e+00    2.095023e-03
    1.898073e+00    1.062616e+00    2.085432e-03
    1.923723e+00    1.101143e+00    1.951685e-03
    1.949373e+00    1.133325e+00    1.735592e-03
    1.975022e+00    1.161699e+00    1.834185e-03
    2.000672e+00    1.187004e+00    1.883784e-03
    2.026321e+00    1.202339e+00    1.982637e-03
    2.051971e+00    1.211821e+00    1.984956e-03
    2.077621e+00    1.211630e+00    1.860422e-03
    2.103270e+00    1.205933e+00    1.817828e-03
    2.128920e+00    1.192334e+00    1.795760e-03
    2.154570e+00    1.173380e+00    1.677855e-03
    2.180219e+00    1.148568e+00    1.711738e-03
    2.205869e+00    1.119410e+00    1.720888e-03
    2.231519e+00    1.091548e+00    1.777272e-03
    2.257168e+00    1.062613e+00    1.733298e-03
    2.282818e+00    1.035577e+00    1.636162e-03
    2.308468e+00    1.006929e+00    1.649579e-03
    2.334117e+00    9.837296e-01    1.506605e-03
    2.359767e+00    9.609130e-01    1.544491e-03
    2.385416e+00    9.395959e-01    1.483797e-03
    2.411066e+00    9.241099e-01    1.431084e-03
    2.436716e+00    9.112326e-01    1.433090e-03
    2.462365e+00    9.046289e-01    1.357498e-03
    2.488015e+00    8.954476e-01    1.367975e-03
    2.513665e+00    8.920697e-01    1.461533e-03
    2.539314e+00    8.903066e-01    1.415202e-03
