#      DISTANCE:       AVE_GOFR:          ERROR:
    0.000000e+00    0.000000e+00    0.000000e+00
    2.564964e-02    0.000000e+00    0.000000e+00
    5.129928e-02    0.000000e+00    0.000000e+00
    7.694892e-02    0.000000e+00    0.000000e+00
    1.025986e-01    0.000000e+00    0.000000e+00
    1.282482e-01    0.000000e+00    0.000000e+00
    1.538978e-01    0.000000e+00    0.000000e+00
    1.795475e-01    0.000000e+00    0.000000e+00
    2.051971e-01    0.000000e+00    0.000000e+00
    2.308468e-01    0.000000e+00    0.000000e+00
    2.564964e-01    0.000000e+00    0.000000e+00
    2.821460e-01    0.000000e+00    0.000000e+00
    3.077957e-01    0.000000e+00    0.000000e+00
    3.334453e-01    0.000000e+00    0.000000e+00
    3.590949e-01    0.000000e+00    0.000000e+00
    3.847446e-01    0.000000e+00    0.000000e+00
    4.103942e-01    0.000000e+00    0.000000e+00
    4.360439e-01    0.000000e+00    0.000000e+00
    4.616935e-01    0.000000e+00    0.000000e+00
    4.873431e-01    0.000000e+00    0.000000e+00
    5.129928e-01    0.000000e+00    0.000000e+00
    5.386424e-01    0.000000e+00    0.000000e+00
    5.642921e-01    0.000000e+00    0.000000e+00
    5.899417e-01    0.000000e+00    0.000000e+00
    6.155913e-01    0.000000e+00    0.000000e+00
    6.412410e-01    0.000000e+00    0.000000e+00
    6.668906e-01    0.000000e+00    0.000000e+00
    6.925403e-01    0.000000e+00    0.000000e+00
    7.181899e-01    0.000000e+00    0.000000e+00
    7.438395e-01    0.000000e+00    0.000000e+00
    7.694892e-01    0.000000e+00    0.000000e+00
    7.951388e-01    0.000000e+00    0.000000e+00
    8.207885e-01    0.000000e+00    0.000000e+00
    8.464381e-01    1.556183e-05    2.288436e-06
    8.720877e-01    1.279838e-03    2.469583e-05
    8.977374e-01    2.424923e-02    1.124793e-04
    9.233870e-01    1.648546e-01    3.447014e-04
    9.490367e-01    5.641909e-01    7.752509e-04
    9.746863e-01    1.201423e+00    1.167182e-03
    1.000336e+00    1.862595e+00    1.307689e-03
    1.025986e+00    2.336682e+00    1.155120e-03
    1.051635e+00    2.553262e+00    9.555523e-04
    1.077285e+00    2.549063e+00    9.266198e-04
    1.102934e+00    2.408480e+00    8.818276e-04
    1.128584e+00    2.200990e+00    9.890174e-04
    1.154234e+00    1.972372e+00    9.566189e-04
    1.179883e+00    1.755234e+00    9.424984e-04
    1.205533e+00    1.558838e+00    8.949417e-04
    1.231183e+00    1.389115e+00    7.871614e-04
    1.256832e+00    1.244629e+00    7.712757e-04
    1.282482e+00    1.124492e+00    7.048473e-04
    1.308132e+00    1.023779e+00    6.495688e-04
    1.333781e+00    9.408792e-01    6.178157e-04
    1.359431e+00    8.732764e-01    5.304110e-04
    1.385081e+00    8.179745e-01    4.915332e-04
    1.410730e+00    7.739028e-01    4.632518e-04
    1.436380e+00    7.383787e-01    4.275316e-04
    1.462029e+00    7.111983e-01    4.698102e-04
    1.487679e+00    6.909952e-01    4.636280e-04
    1.513329e+00    6.789878e-01    4.694172e-04
    1.538978e+00    6.716481e-01    4.453077e-04
    1.564628e+00    6.708288e-01    4.642491e-04
    1.590278e+00    6.753922e-01    4.990004e-04
    1.615927e+00    6.853443e-01    4.677764e-04
    1.641577e+00    7.015061e-01    4.568348e-04
    1.667227e+00    7.227104e-01    4.632036e-04
    1.692876e+00    7.487035e-01    4.404012e-04
    1.718526e+00    7.793425e-01    4.560505e-04
    1.744175e+00    8.151214e-01    4.273142e-04
    1.769825e+00    8.533937e-01    4.110812e-04
    1.795475e+00    8.937394e-01    4.823778e-04
    1.821124e+00    9.358850e-01    5.112454e-04
    1.846774e+00    9.774549e-01    4.664280e-04
    1.872424e+00    1.018863e+00    5.009556e-04
    1.898073e+00    1.058105e+00    4.766714e-04
    1.923723e+00    1.095819e+00    4.763162e-04
    1.949373e+00    1.129930e+00    4.545338e-04
    1.975022e+00    1.161072e+00    4.413947e-04
    2.000672e+00    1.185443e+00    4.253830e-04
    2.026321e+00    1.203695e+00    4.208686e-04
    2.051971e+00    1.214228e+00    4.076195e-04
    2.077621e+00    1.215979e+00    4.442091e-04
    2.103270e+00    1.209279e+00    4.384484e-04
    2.128920e+00    1.195567e+00    4.306918e-04
    2.154570e+00    1.175240e+00    4.597535e-04
    2.180219e+00    1.151606e+00    4.312718e-04
    2.205869e+00    1.124070e+00    4.659843e-04
    2.231519e+00    1.095696e+00    4.339449e-04
    2.257168e+00    1.066465e+00    4.175377e-04
    2.282818e+00    1.038466e+00    4.070400e-04
    2.308468e+00    1.012468e+00    4.161682e-04
    2.334117e+00    9.878522e-01    4.194441e-04
    2.359767e+00    9.660555e-01    3.745880e-04
    2.385416e+00    9.472197e-01    4.167938e-04
    2.411066e+00    9.309026e-01    3.497583e-04
    2.436716e+00    9.183527e-01    3.498599e-04
    2.462365e+00    9.085968e-01    3.506768e-04
    2.488015e+00    8.945800e-01    3.378307e-04
    2.513665e+00    8.853136e-01    3.411037e-04
    2.539314e+00    8.850995e-01    3.399138e-04
