#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1   -5.479379e+00   -5.479379e+00    0.000000e+00
               2   -5.451342e+00   -5.465360e+00    9.912549e-03
               3   -5.448621e+00   -5.459781e+00    8.026601e-03
               4   -5.476238e+00   -5.463895e+00    6.995412e-03
               5   -5.470294e+00   -5.465175e+00    5.712216e-03
               6   -5.459325e+00   -5.464200e+00    4.842683e-03
               7   -5.484850e+00   -5.467150e+00    4.968794e-03
               8   -5.464580e+00   -5.466829e+00    4.358065e-03
               9   -5.444589e+00   -5.464358e+00    4.520421e-03
              10   -5.472854e+00   -5.465207e+00    4.147452e-03
              11   -5.460299e+00   -5.464761e+00    3.794337e-03
              12   -5.460695e+00   -5.464422e+00    3.493236e-03
              13   -5.474460e+00   -5.465194e+00    3.308758e-03
              14   -5.457100e+00   -5.464616e+00    3.122525e-03
              15   -5.457415e+00   -5.464136e+00    2.951033e-03
              16   -5.486009e+00   -5.465503e+00    3.066945e-03
              17   -5.471466e+00   -5.465854e+00    2.906528e-03
              18   -5.475902e+00   -5.466412e+00    2.798144e-03
              19   -5.476320e+00   -5.466934e+00    2.699031e-03
              20   -5.482263e+00   -5.467700e+00    2.670699e-03
              21   -5.461579e+00   -5.467409e+00    2.559381e-03
              22   -5.470648e+00   -5.467556e+00    2.447278e-03
              23   -5.461102e+00   -5.467275e+00    2.356907e-03
              24   -5.474028e+00   -5.467557e+00    2.275436e-03
              25   -5.480085e+00   -5.468058e+00    2.238927e-03
              26   -5.465423e+00   -5.467956e+00    2.155106e-03
              27   -5.484542e+00   -5.468571e+00    2.161063e-03
              28   -5.471620e+00   -5.468680e+00    2.086625e-03
              29   -5.458638e+00   -5.468333e+00    2.043203e-03
              30   -5.450975e+00   -5.467755e+00    2.055395e-03
              31   -5.489524e+00   -5.468457e+00    2.105639e-03
              32   -5.479749e+00   -5.468810e+00    2.069194e-03
              33   -5.454717e+00   -5.468383e+00    2.050084e-03
              34   -5.474889e+00   -5.468574e+00    1.998698e-03
              35   -5.456474e+00   -5.468228e+00    1.971268e-03
              36   -5.474523e+00   -5.468403e+00    1.924249e-03
              37   -5.461169e+00   -5.468208e+00    1.882149e-03
              38   -5.474648e+00   -5.468377e+00    1.840233e-03
              39   -5.468426e+00   -5.468378e+00    1.793048e-03
              40   -5.480739e+00   -5.468687e+00    1.774650e-03
              41   -5.462611e+00   -5.468539e+00    1.737543e-03
              42   -5.446294e+00   -5.468010e+00    1.775063e-03
              43   -5.466241e+00   -5.467968e+00    1.734259e-03
              44   -5.452881e+00   -5.467626e+00    1.728411e-03
              45   -5.464881e+00   -5.467565e+00    1.691078e-03
              46   -5.475297e+00   -5.467733e+00    1.662649e-03
              47   -5.434807e+00   -5.467032e+00    1.768710e-03
              48   -5.479128e+00   -5.467284e+00    1.749722e-03
              49   -5.461880e+00   -5.467174e+00    1.717485e-03
              50   -5.455927e+00   -5.466949e+00    1.697801e-03
              51   -5.455827e+00   -5.466731e+00    1.678458e-03
              52   -5.456329e+00   -5.466531e+00    1.658056e-03
              53   -5.448779e+00   -5.466196e+00    1.660257e-03
              54   -5.459896e+00   -5.466079e+00    1.633606e-03
              55   -5.447480e+00   -5.465741e+00    1.638530e-03
              56   -5.454301e+00   -5.465537e+00    1.621957e-03
              57   -5.456057e+00   -5.465370e+00    1.602006e-03
              58   -5.458855e+00   -5.465258e+00    1.578319e-03
              59   -5.478383e+00   -5.465481e+00    1.567167e-03
              60   -5.452759e+00   -5.465269e+00    1.555325e-03
              61   -5.457022e+00   -5.465133e+00    1.535692e-03
              62   -5.439898e+00   -5.464726e+00    1.563934e-03
