#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1    1.300049e+00    1.300049e+00    0.000000e+00
               2    1.474047e+00    1.387048e+00    6.151759e-02
               3    1.480320e+00    1.418139e+00    4.823245e-02
               4    1.319535e+00    1.393488e+00    4.200401e-02
               5    1.386713e+00    1.392133e+00    3.362505e-02
               6    1.438857e+00    1.399920e+00    2.890856e-02
               7    1.303668e+00    1.386170e+00    2.785763e-02
               8    1.424373e+00    1.390945e+00    2.478134e-02
               9    1.516070e+00    1.404848e+00    2.563274e-02
              10    1.348966e+00    1.399260e+00    2.367077e-02
              11    1.433307e+00    1.402355e+00    2.172030e-02
              12    1.416011e+00    1.403493e+00    1.994006e-02
              13    1.348789e+00    1.399285e+00    1.884499e-02
              14    1.402940e+00    1.399546e+00    1.750073e-02
              15    1.443509e+00    1.402477e+00    1.657761e-02
              16    1.275776e+00    1.394558e+00    1.732994e-02
              17    1.353770e+00    1.392159e+00    1.647578e-02
              18    1.329166e+00    1.388659e+00    1.592780e-02
              19    1.352793e+00    1.386771e+00    1.520094e-02
              20    1.292374e+00    1.382052e+00    1.515595e-02
              21    1.418077e+00    1.383767e+00    1.453100e-02
              22    1.343619e+00    1.381942e+00    1.398462e-02
              23    1.439100e+00    1.384427e+00    1.359561e-02
              24    1.341403e+00    1.382635e+00    1.314679e-02
              25    1.293276e+00    1.379060e+00    1.309780e-02
              26    1.381072e+00    1.379138e+00    1.259427e-02
              27    1.282281e+00    1.375550e+00    1.262838e-02
              28    1.366546e+00    1.375229e+00    1.218146e-02
              29    1.380821e+00    1.375422e+00    1.176293e-02
              30    1.479570e+00    1.378893e+00    1.187207e-02
              31    1.291852e+00    1.376085e+00    1.181646e-02
              32    1.293635e+00    1.373509e+00    1.172474e-02
              33    1.464666e+00    1.376271e+00    1.169033e-02
              34    1.331865e+00    1.374965e+00    1.141922e-02
              35    1.463992e+00    1.377509e+00    1.137272e-02
              36    1.338101e+00    1.376414e+00    1.110937e-02
              37    1.396210e+00    1.376949e+00    1.082199e-02
              38    1.366112e+00    1.376664e+00    1.054096e-02
              39    1.400649e+00    1.377279e+00    1.028860e-02
              40    1.306888e+00    1.375519e+00    1.018077e-02
              41    1.408799e+00    1.376331e+00    9.964766e-03
              42    1.490459e+00    1.379048e+00    1.009121e-02
              43    1.395900e+00    1.379440e+00    9.864136e-03
              44    1.458381e+00    1.381234e+00    9.801751e-03
              45    1.380626e+00    1.381221e+00    9.583944e-03
              46    1.359894e+00    1.380757e+00    9.386804e-03
              47    1.509335e+00    1.383493e+00    9.577441e-03
              48    1.306933e+00    1.381898e+00    9.509797e-03
              49    1.411872e+00    1.382510e+00    9.335373e-03
              50    1.460276e+00    1.384065e+00    9.277324e-03
              51    1.435532e+00    1.385074e+00    9.150138e-03
              52    1.448799e+00    1.386299e+00    9.055866e-03
              53    1.515735e+00    1.388742e+00    9.208417e-03
