#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1    1.100000e+00    1.100000e+00    0.000000e+00
               2    1.100000e+00    1.100000e+00    0.000000e+00
               3    1.100000e+00    1.100000e+00    0.000000e+00
               4    1.100000e+00    1.100000e+00    0.000000e+00
               5    1.100000e+00    1.100000e+00    0.000000e+00
               6    1.100000e+00    1.100000e+00    0.000000e+00
               7    1.100000e+00    1.100000e+00    5.632110e-09
               8    1.100000e+00    1.100000e+00    0.000000e+00
               9    1.100000e+00    1.100000e+00    0.000000e+00
              10    1.100000e+00    1.100000e+00    4.712161e-09
              11    1.100000e+00    1.100000e+00    4.492869e-09
              12    1.100000e+00    1.100000e+00    4.301595e-09
              13    1.100000e+00    1.100000e+00    5.844716e-09
              14    1.100000e+00    1.100000e+00    5.632110e-09
              15    1.100000e+00    1.100000e+00    5.441135e-09
              16    1.100000e+00    1.100000e+00    5.268356e-09
              17    1.100000e+00    1.100000e+00    5.111056e-09
              18    1.100000e+00    1.100000e+00    4.967054e-09
              19    1.100000e+00    1.100000e+00    4.834575e-09
              20    1.100000e+00    1.100000e+00    4.712161e-09
              21    1.100000e+00    1.100000e+00    4.598598e-09
              22    1.100000e+00    1.100000e+00    5.502618e-09
              23    1.100000e+00    1.100000e+00    5.381667e-09
              24    1.100000e+00    1.100000e+00    5.268356e-09
              25    1.100000e+00    1.100000e+00    5.161914e-09
              26    1.100000e+00    1.100000e+00    5.061673e-09
              27    1.100000e+00    1.100000e+00    4.967054e-09
              28    1.100000e+00    1.100000e+00    4.877550e-09
              29    1.100000e+00    1.100000e+00    4.792717e-09
              30    1.100000e+00    1.100000e+00    4.712161e-09
              31    1.100000e+00    1.100000e+00    4.635535e-09
              32    1.100000e+00    1.100000e+00    4.562530e-09
              33    1.100000e+00    1.100000e+00    4.492869e-09
              34    1.100000e+00    1.100000e+00    4.426304e-09
              35    1.100000e+00    1.100000e+00    4.362613e-09
              36    1.100000e+00    1.100000e+00    4.301595e-09
              37    1.100000e+00    1.100000e+00    4.243067e-09
              38    1.100000e+00    1.100000e+00    4.186865e-09
              39    1.100000e+00    1.100000e+00    4.132839e-09
              40    1.100000e+00    1.100000e+00    4.080851e-09
              41    1.100000e+00    1.100000e+00    4.030777e-09
              42    1.100000e+00    1.100000e+00    3.982503e-09
              43    1.100000e+00    1.100000e+00    3.935922e-09
              44    1.100000e+00    1.100000e+00    3.890939e-09
              45    1.100000e+00    1.100000e+00    3.847463e-09
              46    1.100000e+00    1.100000e+00    3.805413e-09
              47    1.100000e+00    1.100000e+00    3.764712e-09
              48    1.100000e+00    1.100000e+00    3.725290e-09
              49    1.100000e+00    1.100000e+00    3.687081e-09
              50    1.100000e+00    1.100000e+00    3.650024e-09
              51    1.100000e+00    1.100000e+00    3.614062e-09
              52    1.100000e+00    1.100000e+00    3.579143e-09
              53    1.100000e+00    1.100000e+00    3.545217e-09
              54    1.100000e+00    1.100000e+00    3.512237e-09
              55    1.100000e+00    1.100000e+00    3.480161e-09
              56    1.100000e+00    1.100000e+00    3.448949e-09
              57    1.100000e+00    1.100000e+00    3.418561e-09
              58    1.100000e+00    1.100000e+00    3.388962e-09
              59    1.100000e+00    1.100000e+00    1.939966e-09
              60    1.100000e+00    1.100000e+00    3.332001e-09
              61    1.100000e+00    1.100000e+00    4.266190e-09
              62    1.100000e+00    1.100000e+00    4.231645e-09
              63    1.100000e+00    1.100000e+00    4.967054e-09
              64    1.100000e+00    1.100000e+00    4.928096e-09
              65    1.100000e+00    1.100000e+00    4.890040e-09
              66    1.100000e+00    1.100000e+00    5.502618e-09
              67    1.100000e+00    1.100000e+00    5.461400e-09
              68    1.100000e+00    1.100000e+00    6.259740e-09
              69    1.100000e+00    1.100000e+00    6.214214e-09
              70    1.100000e+00    1.100000e+00    6.664002e-09
              71    1.100000e+00    1.100000e+00    6.616906e-09
              72    1.100000e+00    1.100000e+00    6.570794e-09
              73    1.100000e+00    1.100000e+00    6.976196e-09
              74    1.100000e+00    1.100000e+00    6.928899e-09
              75    1.100000e+00    1.100000e+00    6.882552e-09
              76    1.100000e+00    1.100000e+00    7.251863e-09
              77    1.100000e+00    1.100000e+00    7.204619e-09
              78    1.100000e+00    1.100000e+00    7.158286e-09
              79    1.100000e+00    1.100000e+00    7.497588e-09
              80    1.100000e+00    1.100000e+00    7.450581e-09
              81    1.100000e+00    1.100000e+00    7.404447e-09
              82    1.100000e+00    1.100000e+00    7.891819e-09
              83    1.100000e+00    1.100000e+00    7.844134e-09
              84    1.100000e+00    1.100000e+00    7.797303e-09
              85    1.100000e+00    1.100000e+00    7.751300e-09
              86    1.100000e+00    1.100000e+00    8.034168e-09
              87    1.100000e+00    1.100000e+00    7.987861e-09
              88    1.100000e+00    1.100000e+00    7.942346e-09
              89    1.100000e+00    1.100000e+00    7.897600e-09
              90    1.100000e+00    1.100000e+00    8.161702e-09
              91    1.100000e+00    1.100000e+00    8.116734e-09
              92    1.100000e+00    1.100000e+00    8.072501e-09
              93    1.100000e+00    1.100000e+00    8.028983e-09
              94    1.100000e+00    1.100000e+00    8.276661e-09
              95    1.100000e+00    1.100000e+00    8.232985e-09
              96    1.100000e+00    1.100000e+00    8.189992e-09
              97    1.100000e+00    1.100000e+00    8.147667e-09
              98    1.100000e+00    1.100000e+00    8.105990e-09
              99    1.100000e+00    1.100000e+00    8.338412e-09
             100    1.100000e+00    1.100000e+00    8.296615e-09
             101    1.100000e+00    1.100000e+00    8.255441e-09
             102    1.100000e+00    1.100000e+00    8.214873e-09
             103    1.100000e+00    1.100000e+00    8.174898e-09
             104    1.100000e+00    1.100000e+00    8.520065e-09
             105    1.100000e+00    1.100000e+00    8.479396e-09
             106    1.100000e+00    1.100000e+00    8.439304e-09
             107    1.100000e+00    1.100000e+00    8.275328e-09
             108    1.100000e+00    1.100000e+00    8.236927e-09
             109    1.100000e+00    1.100000e+00    8.073872e-09
             110    1.100000e+00    1.100000e+00    8.284441e-09
             111    1.100000e+00    1.100000e+00    8.124855e-09
             112    1.100000e+00    1.100000e+00    7.965006e-09
             113    1.100000e+00    1.100000e+00    7.929684e-09
             114    1.100000e+00    1.100000e+00    7.770492e-09
             115    1.100000e+00    1.100000e+00    7.736634e-09
             116    1.100000e+00    1.100000e+00    7.577950e-09
             117    1.100000e+00    1.100000e+00    7.792955e-09
             118    1.100000e+00    1.100000e+00    7.637654e-09
             119    1.100000e+00    1.100000e+00    7.605495e-09
             120    1.100000e+00    1.100000e+00    7.450581e-09
             121    1.100000e+00    1.100000e+00    7.419729e-09
             122    1.100000e+00    1.100000e+00    7.389258e-09
             123    1.100000e+00    1.100000e+00    7.235467e-09
             124    1.100000e+00    1.100000e+00    7.450581e-09
             125    1.100000e+00    1.100000e+00    7.300048e-09
             126    1.100000e+00    1.100000e+00    7.271022e-09
             127    1.100000e+00    1.100000e+00    7.120611e-09
             128    1.100000e+00    1.100000e+00    7.092741e-09
             129    1.100000e+00    1.100000e+00    7.065197e-09
             130    1.100000e+00    1.100000e+00    6.915562e-09
             131    1.100000e+00    1.100000e+00    6.889116e-09
             132    1.100000e+00    1.100000e+00    6.739304e-09
             133    1.100000e+00    1.100000e+00    6.958142e-09
             134    1.100000e+00    1.100000e+00    6.932130e-09
             135    1.100000e+00    1.100000e+00    6.786287e-09
             136    1.100000e+00    1.100000e+00    6.761292e-09
             137    1.100000e+00    1.100000e+00    6.736570e-09
             138    1.100000e+00    1.100000e+00    6.591169e-09
             139    1.100000e+00    1.100000e+00    6.567417e-09
             140    1.100000e+00    1.100000e+00    6.543920e-09
             141    1.100000e+00    1.100000e+00    6.398781e-09
             142    1.100000e+00    1.100000e+00    6.376210e-09
             143    1.100000e+00    1.100000e+00    6.710441e-09
             144    1.100000e+00    1.100000e+00    6.570794e-09
             145    1.100000e+00    1.100000e+00    6.548097e-09
             146    1.100000e+00    1.100000e+00    6.525634e-09
             147    1.100000e+00    1.100000e+00    6.386212e-09
             148    1.100000e+00    1.100000e+00    6.364600e-09
             149    1.100000e+00    1.100000e+00    6.343207e-09
             150    1.100000e+00    1.100000e+00    6.203848e-09
             151    1.100000e+00    1.100000e+00    6.183271e-09
             152    1.100000e+00    1.100000e+00    6.162898e-09
             153    1.100000e+00    1.100000e+00    6.142725e-09
             154    1.100000e+00    1.100000e+00    6.239383e-09
             155    1.100000e+00    1.100000e+00    6.219223e-09
             156    1.100000e+00    1.100000e+00    6.199258e-09
             157    1.100000e+00    1.100000e+00    6.063969e-09
             158    1.100000e+00    1.100000e+00    6.044749e-09
             159    1.100000e+00    1.100000e+00    6.025710e-09
             160    1.100000e+00    1.100000e+00    6.006850e-09
             161    1.100000e+00    1.100000e+00    5.871880e-09
             162    1.100000e+00    1.100000e+00    5.853729e-09
             163    1.100000e+00    1.100000e+00    5.835745e-09
             164    1.100000e+00    1.100000e+00    5.817926e-09
             165    1.100000e+00    1.100000e+00    5.683080e-09
             166    1.100000e+00    1.100000e+00    5.665936e-09
             167    1.100000e+00    1.100000e+00    5.879610e-09
             168    1.100000e+00    1.100000e+00    5.862085e-09
             169    1.100000e+00    1.100000e+00    5.731216e-09
             170    1.100000e+00    1.100000e+00    5.714334e-09
             171    1.100000e+00    1.100000e+00    5.697601e-09
             172    1.100000e+00    1.100000e+00    5.681014e-09
             173    1.100000e+00    1.100000e+00    5.550124e-09
             174    1.100000e+00    1.100000e+00    5.534152e-09
             175    1.100000e+00    1.100000e+00    5.518318e-09
             176    1.100000e+00    1.100000e+00    5.502618e-09
             177    1.100000e+00    1.100000e+00    5.487052e-09
             178    1.100000e+00    1.100000e+00    5.356413e-09
             179    1.100000e+00    1.100000e+00    5.341430e-09
             180    1.100000e+00    1.100000e+00    5.326572e-09
             181    1.100000e+00    1.100000e+00    5.311837e-09
             182    1.100000e+00    1.100000e+00    5.297224e-09
             183    1.100000e+00    1.100000e+00    5.396351e-09
             184    1.100000e+00    1.100000e+00    5.381667e-09
             185    1.100000e+00    1.100000e+00    5.367102e-09
             186    1.100000e+00    1.100000e+00    5.352655e-09
             187    1.100000e+00    1.100000e+00    5.338324e-09
             188    1.100000e+00    1.100000e+00    5.212008e-09
             189    1.100000e+00    1.100000e+00    5.198202e-09
             190    1.100000e+00    1.100000e+00    5.184504e-09
             191    1.100000e+00    1.100000e+00    5.170914e-09
             192    1.100000e+00    1.100000e+00    5.157431e-09
             193    1.100000e+00    1.100000e+00    5.030982e-09
             194    1.100000e+00    1.100000e+00    5.017999e-09
             195    1.100000e+00    1.100000e+00    5.005116e-09
             196    1.100000e+00    1.100000e+00    4.992332e-09
             197    1.100000e+00    1.100000e+00    4.979645e-09
             198    1.100000e+00    1.100000e+00    4.967054e-09
             199    1.100000e+00    1.100000e+00    4.840645e-09
             200    1.100000e+00    1.100000e+00    4.828528e-09
             201    1.100000e+00    1.100000e+00    4.816502e-09
             202    1.100000e+00    1.100000e+00    4.804565e-09
             203    1.100000e+00    1.100000e+00    5.015752e-09
             204    1.100000e+00    1.100000e+00    5.003443e-09
             205    1.100000e+00    1.100000e+00    4.881514e-09
             206    1.100000e+00    1.100000e+00    4.869651e-09
             207    1.100000e+00    1.100000e+00    4.857874e-09
             208    1.100000e+00    1.100000e+00    4.846183e-09
             209    1.100000e+00    1.100000e+00    4.834575e-09
             210    1.100000e+00    1.100000e+00    4.823050e-09
             211    1.100000e+00    1.100000e+00    4.811608e-09
             212    1.100000e+00    1.100000e+00    4.689881e-09
             213    1.100000e+00    1.100000e+00    4.678859e-09
             214    1.100000e+00    1.100000e+00    4.667914e-09
             215    1.100000e+00    1.100000e+00    4.657046e-09
             216    1.100000e+00    1.100000e+00    4.646253e-09
             217    1.100000e+00    1.100000e+00    4.635535e-09
             218    1.100000e+00    1.100000e+00    4.624891e-09
             219    1.100000e+00    1.100000e+00    4.503115e-09
             220    1.100000e+00    1.100000e+00    4.492869e-09
             221    1.100000e+00    1.100000e+00    4.482693e-09
             222    1.100000e+00    1.100000e+00    4.472585e-09
             223    1.100000e+00    1.100000e+00    4.462546e-09
             224    1.100000e+00    1.100000e+00    4.452574e-09
             225    1.100000e+00    1.100000e+00    4.442668e-09
             226    1.100000e+00    1.100000e+00    4.649189e-09
             227    1.100000e+00    1.100000e+00    4.638938e-09
             228    1.100000e+00    1.100000e+00    4.628753e-09
             229    1.100000e+00    1.100000e+00    4.618636e-09
             230    1.100000e+00    1.100000e+00    4.608584e-09
             231    1.100000e+00    1.100000e+00    4.598598e-09
             232    1.100000e+00    1.100000e+00    4.588677e-09
             233    1.100000e+00    1.100000e+00    4.255190e-09
             234    1.100000e+00    1.100000e+00    4.132839e-09
             235    1.100000e+00    1.100000e+00    4.124036e-09
             236    1.100000e+00    1.100000e+00    4.115289e-09
             237    1.100000e+00    1.100000e+00    4.106598e-09
             238    1.100000e+00    1.100000e+00    4.097962e-09
             239    1.100000e+00    1.100000e+00    4.089379e-09
             240    1.100000e+00    1.100000e+00    4.080851e-09
             241    1.100000e+00    1.100000e+00    4.398669e-09
             242    1.100000e+00    1.100000e+00    4.389571e-09
             243    1.100000e+00    1.100000e+00    4.274959e-09
             244    1.100000e+00    1.100000e+00    4.266190e-09
             245    1.100000e+00    1.100000e+00    4.257475e-09
             246    1.100000e+00    1.100000e+00    4.248812e-09
             247    1.100000e+00    1.100000e+00    4.240203e-09
             248    1.100000e+00    1.100000e+00    4.231645e-09
             249    1.100000e+00    1.100000e+00    4.223140e-09
             250    1.100000e+00    1.100000e+00    4.214685e-09
