#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1    1.197167e+00    1.197167e+00    0.000000e+00
               2    1.201263e+00    1.199215e+00    1.447951e-03
               3    1.192358e+00    1.196929e+00    2.101191e-03
               4    1.203477e+00    1.198566e+00    2.119737e-03
               5    1.203572e+00    1.199567e+00    1.917689e-03
               6    1.197968e+00    1.199301e+00    1.616488e-03
               7    1.196324e+00    1.198876e+00    1.440405e-03
               8    1.199494e+00    1.198953e+00    1.262423e-03
               9    1.205721e+00    1.199705e+00    1.327386e-03
              10    1.196122e+00    1.199347e+00    1.242073e-03
              11    1.205331e+00    1.199891e+00    1.242607e-03
              12    1.194201e+00    1.199416e+00    1.226196e-03
              13    1.196009e+00    1.199154e+00    1.159552e-03
              14    1.199997e+00    1.199215e+00    1.078288e-03
              15    1.203700e+00    1.199514e+00    1.047037e-03
              16    1.187667e+00    1.198773e+00    1.215514e-03
              17    1.201609e+00    1.198940e+00    1.155400e-03
              18    1.200802e+00    1.199043e+00    1.095835e-03
              19    1.199461e+00    1.199065e+00    1.038379e-03
              20    1.199520e+00    1.199088e+00    9.867094e-04
              21    1.204201e+00    1.199332e+00    9.692940e-04
              22    1.200744e+00    1.199396e+00    9.273583e-04
              23    1.194638e+00    1.199189e+00    9.098132e-04
              24    1.200573e+00    1.199247e+00    8.737288e-04
              25    1.205994e+00    1.199516e+00    8.794761e-04
              26    1.204582e+00    1.199711e+00    8.669601e-04
              27    1.201110e+00    1.199763e+00    8.363960e-04
              28    1.199555e+00    1.199756e+00    8.065579e-04
              29    1.201189e+00    1.199805e+00    7.802585e-04
              30    1.192510e+00    1.199562e+00    7.912357e-04
              31    1.201249e+00    1.199616e+00    7.675809e-04
              32    1.202874e+00    1.199718e+00    7.503130e-04
              33    1.200316e+00    1.199736e+00    7.277946e-04
              34    1.195750e+00    1.199619e+00    7.157705e-04
              35    1.196005e+00    1.199516e+00    7.027302e-04
              36    1.196245e+00    1.199425e+00    6.890568e-04
              37    1.202337e+00    1.199504e+00    6.749142e-04
              38    1.199219e+00    1.199496e+00    6.571948e-04
              39    1.189957e+00    1.199251e+00    6.843503e-04
              40    1.196278e+00    1.199177e+00    6.712669e-04
