#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1   -6.659604e+00   -6.659604e+00    0.000000e+00
               2   -6.663986e+00   -6.661795e+00    1.549266e-03
               3   -6.656131e+00   -6.659907e+00    1.855719e-03
               4   -6.666039e+00   -6.661440e+00    1.923376e-03
               5   -6.666697e+00   -6.662491e+00    1.803362e-03
               6   -6.660260e+00   -6.662120e+00    1.540669e-03
               7   -6.658270e+00   -6.661570e+00    1.415306e-03
               8   -6.662751e+00   -6.661717e+00    1.246065e-03
               9   -6.668524e+00   -6.662474e+00    1.317286e-03
              10   -6.658805e+00   -6.662107e+00    1.235588e-03
              11   -6.669286e+00   -6.662759e+00    1.284120e-03
              12   -6.657824e+00   -6.662348e+00    1.241239e-03
              13   -6.658946e+00   -6.662086e+00    1.173019e-03
              14   -6.663250e+00   -6.662170e+00    1.092175e-03
              15   -6.666408e+00   -6.662452e+00    1.055288e-03
              16   -6.650764e+00   -6.661722e+00    1.216180e-03
              17   -6.665466e+00   -6.661942e+00    1.164410e-03
              18   -6.663465e+00   -6.662026e+00    1.102791e-03
              19   -6.662573e+00   -6.662055e+00    1.045124e-03
              20   -6.663352e+00   -6.662120e+00    9.948780e-04
              21   -6.666805e+00   -6.662343e+00    9.721985e-04
              22   -6.663075e+00   -6.662376e+00    9.285759e-04
              23   -6.657144e+00   -6.662149e+00    9.156460e-04
              24   -6.662908e+00   -6.662181e+00    8.780399e-04
              25   -6.668235e+00   -6.662423e+00    8.756791e-04
              26   -6.668236e+00   -6.662646e+00    8.700740e-04
              27   -6.663946e+00   -6.662694e+00    8.391786e-04
              28   -6.662912e+00   -6.662702e+00    8.092438e-04
              29   -6.664041e+00   -6.662748e+00    7.826550e-04
              30   -6.656162e+00   -6.662529e+00    7.867584e-04
              31   -6.663865e+00   -6.662572e+00    7.625589e-04
              32   -6.664946e+00   -6.662646e+00    7.423297e-04
              33   -6.663713e+00   -6.662678e+00    7.205380e-04
              34   -6.658916e+00   -6.662568e+00    7.077917e-04
              35   -6.658278e+00   -6.662445e+00    6.980995e-04
              36   -6.658920e+00   -6.662347e+00    6.855401e-04
              37   -6.664598e+00   -6.662408e+00    6.697052e-04
              38   -6.661896e+00   -6.662395e+00    6.522170e-04
              39   -6.652076e+00   -6.662130e+00    6.870696e-04
              40   -6.659147e+00   -6.662055e+00    6.739283e-04
