#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1    9.614336e+00    9.614336e+00    0.000000e+00
               2    9.579626e+00    9.596981e+00    1.227190e-02
               3    9.635042e+00    9.609668e+00    1.320014e-02
               4    9.570056e+00    9.599765e+00    1.309832e-02
               5    9.580855e+00    9.595983e+00    1.101111e-02
               6    9.597318e+00    9.596205e+00    9.178176e-03
               7    9.621691e+00    9.599846e+00    8.558735e-03
               8    9.637440e+00    9.604546e+00    8.683674e-03
               9    9.599716e+00    9.604009e+00    7.735381e-03
              10    9.617821e+00    9.605390e+00    7.084074e-03
              11    9.575093e+00    9.602636e+00    6.954914e-03
              12    9.624098e+00    9.604424e+00    6.601301e-03
              13    9.606036e+00    9.604548e+00    6.094673e-03
              14    9.611479e+00    9.605043e+00    5.679407e-03
              15    9.585259e+00    9.603724e+00    5.451781e-03
              16    9.653646e+00    9.606845e+00    5.937128e-03
              17    9.582705e+00    9.605425e+00    5.755187e-03
              18    9.589849e+00    9.604559e+00    5.500122e-03
              19    9.585173e+00    9.603539e+00    5.304435e-03
              20    9.602263e+00    9.603475e+00    5.039597e-03
              21    9.572676e+00    9.602009e+00    5.008487e-03
              22    9.590499e+00    9.601485e+00    4.808074e-03
              23    9.641094e+00    9.603207e+00    4.897727e-03
              24    9.594369e+00    9.602839e+00    4.707479e-03
              25    9.571584e+00    9.601589e+00    4.682250e-03
              26    9.564569e+00    9.600165e+00    4.713690e-03
              27    9.588562e+00    9.599735e+00    4.558656e-03
              28    9.611780e+00    9.600166e+00    4.416096e-03
              29    9.591349e+00    9.599862e+00    4.274270e-03
              30    9.618982e+00    9.600499e+00    4.179044e-03
              31    9.601474e+00    9.600530e+00    4.044355e-03
              32    9.587138e+00    9.600112e+00    3.939564e-03
              33    9.606723e+00    9.600312e+00    3.825274e-03
              34    9.611415e+00    9.600639e+00    3.726678e-03
              35    9.605006e+00    9.600764e+00    3.622290e-03
              36    9.612842e+00    9.601099e+00    3.537176e-03
              37    9.573041e+00    9.600341e+00    3.521928e-03
              38    9.598100e+00    9.600282e+00    3.429739e-03
              39    9.650153e+00    9.601560e+00    3.572234e-03
              40    9.612409e+00    9.601832e+00    3.493208e-03
