#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1    7.981116e-01    7.981116e-01    0.000000e+00
               2    8.008419e-01    7.994767e-01    9.653008e-04
               3    7.949051e-01    7.979529e-01    1.400794e-03
               4    8.023182e-01    7.990442e-01    1.413158e-03
               5    8.023813e-01    7.997116e-01    1.278459e-03
               6    7.986456e-01    7.995339e-01    1.077659e-03
               7    7.975495e-01    7.992505e-01    9.602701e-04
               8    7.996624e-01    7.993019e-01    8.416155e-04
               9    8.038142e-01    7.998033e-01    8.849238e-04
              10    7.974144e-01    7.995644e-01    8.280486e-04
              11    8.035541e-01    7.999271e-01    8.284044e-04
              12    7.961337e-01    7.996110e-01    8.174641e-04
              13    7.973393e-01    7.994362e-01    7.730345e-04
              14    7.999982e-01    7.994764e-01    7.188589e-04
              15    8.024664e-01    7.996757e-01    6.980248e-04
              16    7.917780e-01    7.991821e-01    8.103425e-04
              17    8.010724e-01    7.992933e-01    7.702668e-04
              18    8.005350e-01    7.993623e-01    7.305565e-04
              19    7.996405e-01    7.993769e-01    6.922529e-04
              20    7.996802e-01    7.993921e-01    6.578063e-04
              21    8.028006e-01    7.995544e-01    6.461960e-04
              22    8.004959e-01    7.995972e-01    6.182389e-04
              23    7.964256e-01    7.994593e-01    6.065421e-04
              24    8.003817e-01    7.994977e-01    5.824859e-04
              25    8.039959e-01    7.996777e-01    5.863174e-04
              26    8.030546e-01    7.998075e-01    5.779734e-04
              27    8.007398e-01    7.998421e-01    5.575973e-04
              28    7.997030e-01    7.998371e-01    5.377052e-04
              29    8.007927e-01    7.998701e-01    5.201724e-04
              30    7.950066e-01    7.997079e-01    5.274905e-04
              31    8.008325e-01    7.997442e-01    5.117206e-04
              32    8.019158e-01    7.998121e-01    5.002086e-04
              33    8.002104e-01    7.998241e-01    4.851964e-04
              34    7.971666e-01    7.997460e-01    4.771803e-04
              35    7.973364e-01    7.996771e-01    4.684868e-04
              36    7.974969e-01    7.996166e-01    4.593712e-04
              37    8.015581e-01    7.996690e-01    4.499428e-04
              38    7.994793e-01    7.996641e-01    4.381299e-04
              39    7.933044e-01    7.995010e-01    4.562335e-04
              40    7.975187e-01    7.994514e-01    4.475112e-04
