#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1   -5.462437e+00   -5.462437e+00    0.000000e+00
               2   -5.462724e+00   -5.462580e+00    1.013144e-04
               3   -5.463773e+00   -5.462978e+00    3.315568e-04
               4   -5.462561e+00   -5.462874e+00    2.645125e-04
               5   -5.463125e+00   -5.462924e+00    2.163496e-04
               6   -5.462292e+00   -5.462819e+00    2.043440e-04
               7   -5.461946e+00   -5.462694e+00    2.097561e-04
               8   -5.463257e+00   -5.462764e+00    1.949840e-04
               9   -5.462803e+00   -5.462769e+00    1.733657e-04
              10   -5.462683e+00   -5.462760e+00    1.562388e-04
              11   -5.463955e+00   -5.462869e+00    1.757841e-04
              12   -5.463623e+00   -5.462932e+00    1.720072e-04
              13   -5.462937e+00   -5.462932e+00    1.587764e-04
              14   -5.463253e+00   -5.462955e+00    1.490835e-04
              15   -5.462709e+00   -5.462939e+00    1.400454e-04
              16   -5.463097e+00   -5.462948e+00    1.316405e-04
              17   -5.463857e+00   -5.463002e+00    1.343061e-04
              18   -5.462663e+00   -5.462983e+00    1.281614e-04
              19   -5.463112e+00   -5.462990e+00    1.215953e-04
              20   -5.463832e+00   -5.463032e+00    1.225910e-04
              21   -5.462605e+00   -5.463012e+00    1.184304e-04
              22   -5.462331e+00   -5.462981e+00    1.170203e-04
              23   -5.462506e+00   -5.462960e+00    1.137403e-04
              24   -5.462335e+00   -5.462934e+00    1.119396e-04
              25   -5.462241e+00   -5.462906e+00    1.108399e-04
              26   -5.463654e+00   -5.462935e+00    1.102449e-04
              27   -5.462836e+00   -5.462931e+00    1.062229e-04
              28   -5.463357e+00   -5.462947e+00    1.035119e-04
              29   -5.462852e+00   -5.462943e+00    9.999362e-05
              30   -5.463652e+00   -5.462967e+00    9.941110e-05
              31   -5.462616e+00   -5.462956e+00    9.684580e-05
              32   -5.462073e+00   -5.462928e+00    9.767170e-05
              33   -5.463397e+00   -5.462942e+00    9.574065e-05
              34   -5.463166e+00   -5.462949e+00    9.315122e-05
              35   -5.462274e+00   -5.462930e+00    9.246541e-05
              36   -5.462675e+00   -5.462922e+00    9.016679e-05
              37   -5.462261e+00   -5.462905e+00    8.948532e-05
              38   -5.462677e+00   -5.462899e+00    8.733049e-05
              39   -5.462119e+00   -5.462879e+00    8.734894e-05
              40   -5.462869e+00   -5.462878e+00    8.516555e-05
