#      DISTANCE:       AVE_GOFR:          ERROR:
               0    0.000000e+00    0.000000e+00
    2.306643e-02    0.000000e+00    0.000000e+00
    4.613286e-02    0.000000e+00    0.000000e+00
    6.919929e-02    0.000000e+00    0.000000e+00
    9.226572e-02    0.000000e+00    0.000000e+00
    1.153321e-01    0.000000e+00    0.000000e+00
    1.383986e-01    0.000000e+00    0.000000e+00
    1.614650e-01    0.000000e+00    0.000000e+00
    1.845314e-01    0.000000e+00    0.000000e+00
    2.075979e-01    0.000000e+00    0.000000e+00
    2.306643e-01    0.000000e+00    0.000000e+00
    2.537307e-01    0.000000e+00    0.000000e+00
    2.767971e-01    0.000000e+00    0.000000e+00
    2.998636e-01    0.000000e+00    0.000000e+00
    3.229300e-01    0.000000e+00    0.000000e+00
    3.459964e-01    0.000000e+00    0.000000e+00
    3.690629e-01    0.000000e+00    0.000000e+00
    3.921293e-01    0.000000e+00    0.000000e+00
    4.151957e-01    0.000000e+00    0.000000e+00
    4.382621e-01    0.000000e+00    0.000000e+00
    4.613286e-01    0.000000e+00    0.000000e+00
    4.843950e-01    0.000000e+00    0.000000e+00
    5.074614e-01    0.000000e+00    0.000000e+00
    5.305279e-01    0.000000e+00    0.000000e+00
    5.535943e-01    0.000000e+00    0.000000e+00
    5.766607e-01    0.000000e+00    0.000000e+00
    5.997271e-01    0.000000e+00    0.000000e+00
    6.227936e-01    0.000000e+00    0.000000e+00
    6.458600e-01    0.000000e+00    0.000000e+00
    6.689264e-01    0.000000e+00    0.000000e+00
    6.919929e-01    0.000000e+00    0.000000e+00
    7.150593e-01    0.000000e+00    0.000000e+00
    7.381257e-01    0.000000e+00    0.000000e+00
    7.611922e-01    0.000000e+00    0.000000e+00
    7.842586e-01    0.000000e+00    0.000000e+00
    8.073250e-01    0.000000e+00    0.000000e+00
    8.303914e-01    0.000000e+00    0.000000e+00
    8.534579e-01    0.000000e+00    0.000000e+00
    8.765243e-01    6.244714e-05    1.448821e-05
    8.995907e-01    3.496984e-03    1.214482e-04
    9.226572e-01    4.998142e-02    4.823784e-04
    9.457236e-01    3.065755e-01    9.581403e-04
    9.687900e-01    1.038812e+00    1.759942e-03
    9.918564e-01    2.282278e+00    2.966032e-03
    1.014923e+00    3.641263e+00    3.739371e-03
    1.037989e+00    4.592432e+00    4.354635e-03
    1.061056e+00    4.847504e+00    4.097856e-03
    1.084122e+00    4.436974e+00    4.355531e-03
    1.107189e+00    3.619423e+00    4.298123e-03
    1.130255e+00    2.680239e+00    3.286056e-03
    1.153321e+00    1.822645e+00    2.811651e-03
    1.176388e+00    1.152741e+00    2.001387e-03
    1.199454e+00    6.742250e-01    1.511487e-03
    1.222521e+00    3.668250e-01    1.246044e-03
    1.245587e+00    1.871474e-01    9.408178e-04
    1.268654e+00    9.321406e-02    7.831290e-04
    1.291720e+00    5.219932e-02    6.491406e-04
    1.314786e+00    4.455178e-02    6.174401e-04
    1.337853e+00    6.309579e-02    6.774474e-04
    1.360919e+00    1.090550e-01    8.381895e-04
    1.383986e+00    1.894592e-01    1.083060e-03
    1.407052e+00    3.063114e-01    1.160137e-03
    1.430119e+00    4.588769e-01    1.262453e-03
    1.453185e+00    6.282894e-01    1.225818e-03
    1.476251e+00    7.915476e-01    1.602228e-03
    1.499318e+00    9.134213e-01    2.181119e-03
    1.522384e+00    9.573792e-01    2.126518e-03
    1.545451e+00    9.193242e-01    2.018958e-03
    1.568517e+00    8.027181e-01    1.717476e-03
    1.591584e+00    6.393019e-01    1.154620e-03
    1.614650e+00    4.673262e-01    9.378949e-04
    1.637716e+00    3.216621e-01    1.062765e-03
    1.660783e+00    2.276649e-01    1.088216e-03
    1.683849e+00    2.017459e-01    1.078770e-03
    1.706916e+00    2.666408e-01    1.216074e-03
    1.729982e+00    4.487436e-01    1.402124e-03
    1.753049e+00    7.679153e-01    1.650645e-03
    1.776115e+00    1.211465e+00    1.602964e-03
    1.799181e+00    1.731572e+00    1.739674e-03
    1.822248e+00    2.223832e+00    2.011244e-03
    1.845314e+00    2.569755e+00    2.509258e-03
    1.868381e+00    2.679688e+00    2.779874e-03
    1.891447e+00    2.525880e+00    2.713989e-03
    1.914514e+00    2.161519e+00    2.141453e-03
    1.937580e+00    1.687408e+00    1.657404e-03
    1.960646e+00    1.211045e+00    1.326882e-03
    1.983713e+00    8.185543e-01    1.285741e-03
    2.006779e+00    5.618714e-01    1.461782e-03
    2.029846e+00    4.539649e-01    1.464439e-03
    2.052912e+00    4.786428e-01    1.261562e-03
    2.075979e+00    5.979183e-01    1.088640e-03
    2.099045e+00    7.585852e-01    9.908733e-04
    2.122111e+00    9.057639e-01    1.128411e-03
    2.145178e+00    9.918912e-01    1.392317e-03
    2.168244e+00    9.938185e-01    1.448884e-03
    2.191311e+00    9.131984e-01    1.264795e-03
    2.214377e+00    7.900573e-01    1.008469e-03
    2.237444e+00    6.638567e-01    1.081068e-03
    2.260510e+00    5.863790e-01    1.482508e-03
    2.283576e+00    5.883583e-01    1.725774e-03
