#      DISTANCE:       AVE_GOFR:          ERROR:
    0.000000e+00    0.000000e+00    0.000000e+00
    2.306643e-02    0.000000e+00    0.000000e+00
    4.613286e-02    0.000000e+00    0.000000e+00
    6.919929e-02    0.000000e+00    0.000000e+00
    9.226572e-02    0.000000e+00    0.000000e+00
    1.153321e-01    0.000000e+00    0.000000e+00
    1.383986e-01    0.000000e+00    0.000000e+00
    1.614650e-01    0.000000e+00    0.000000e+00
    1.845314e-01    0.000000e+00    0.000000e+00
    2.075979e-01    0.000000e+00    0.000000e+00
    2.306643e-01    0.000000e+00    0.000000e+00
    2.537307e-01    0.000000e+00    0.000000e+00
    2.767971e-01    0.000000e+00    0.000000e+00
    2.998636e-01    0.000000e+00    0.000000e+00
    3.229300e-01    0.000000e+00    0.000000e+00
    3.459964e-01    0.000000e+00    0.000000e+00
    3.690629e-01    0.000000e+00    0.000000e+00
    3.921293e-01    0.000000e+00    0.000000e+00
    4.151957e-01    0.000000e+00    0.000000e+00
    4.382621e-01    0.000000e+00    0.000000e+00
    4.613286e-01    0.000000e+00    0.000000e+00
    4.843950e-01    0.000000e+00    0.000000e+00
    5.074614e-01    0.000000e+00    0.000000e+00
    5.305279e-01    0.000000e+00    0.000000e+00
    5.535943e-01    0.000000e+00    0.000000e+00
    5.766607e-01    0.000000e+00    0.000000e+00
    5.997271e-01    0.000000e+00    0.000000e+00
    6.227936e-01    0.000000e+00    0.000000e+00
    6.458600e-01    0.000000e+00    0.000000e+00
    6.689264e-01    0.000000e+00    0.000000e+00
    6.919929e-01    0.000000e+00    0.000000e+00
    7.150593e-01    0.000000e+00    0.000000e+00
    7.381257e-01    0.000000e+00    0.000000e+00
    7.611922e-01    0.000000e+00    0.000000e+00
    7.842586e-01    0.000000e+00    0.000000e+00
    8.073250e-01    0.000000e+00    0.000000e+00
    8.303914e-01    0.000000e+00    0.000000e+00
    8.534579e-01    1.552402e-07    1.549295e-07
    8.765243e-01    8.424473e-05    5.521101e-06
    8.995907e-01    3.339715e-03    3.547379e-05
    9.226572e-01    4.707530e-02    1.502719e-04
    9.457236e-01    2.932573e-01    4.433777e-04
    9.687900e-01    1.006170e+00    9.222882e-04
    9.918564e-01    2.240900e+00    1.177506e-03
    1.014923e+00    3.625101e+00    8.905352e-04
    1.037989e+00    4.619658e+00    1.143257e-03
    1.061056e+00    4.897304e+00    1.482639e-03
    1.084122e+00    4.491361e+00    1.665143e-03
    1.107189e+00    3.657873e+00    1.346794e-03
    1.130255e+00    2.695254e+00    9.535503e-04
    1.153321e+00    1.815234e+00    7.036324e-04
    1.176388e+00    1.130436e+00    5.650602e-04
    1.199454e+00    6.539090e-01    5.547973e-04
    1.222521e+00    3.533763e-01    4.778375e-04
    1.245587e+00    1.796925e-01    3.630690e-04
    1.268654e+00    8.886182e-02    2.664266e-04
    1.291720e+00    4.946986e-02    2.133063e-04
    1.314786e+00    4.234246e-02    1.906991e-04
    1.337853e+00    6.082892e-02    2.136959e-04
    1.360919e+00    1.060305e-01    2.607750e-04
    1.383986e+00    1.841183e-01    2.997183e-04
    1.407052e+00    3.003971e-01    3.272670e-04
    1.430119e+00    4.534494e-01    2.958651e-04
    1.453185e+00    6.278116e-01    2.888752e-04
    1.476251e+00    7.969929e-01    4.142189e-04
    1.499318e+00    9.210145e-01    5.505666e-04
    1.522384e+00    9.702975e-01    6.407491e-04
    1.545451e+00    9.290581e-01    5.816985e-04
    1.568517e+00    8.085497e-01    4.325197e-04
    1.591584e+00    6.416796e-01    2.948227e-04
    1.614650e+00    4.659880e-01    2.411655e-04
    1.637716e+00    3.170107e-01    2.905901e-04
    1.660783e+00    2.193890e-01    3.547968e-04
    1.683849e+00    1.921070e-01    4.175897e-04
    1.706916e+00    2.547161e-01    4.838913e-04
    1.729982e+00    4.336001e-01    5.899916e-04
    1.753049e+00    7.494322e-01    6.064676e-04
    1.776115e+00    1.197576e+00    5.269001e-04
    1.799181e+00    1.728917e+00    3.875594e-04
    1.822248e+00    2.235346e+00    5.995231e-04
    1.845314e+00    2.596646e+00    9.492542e-04
    1.868381e+00    2.713729e+00    1.140886e-03
    1.891447e+00    2.556607e+00    1.057396e-03
    1.914514e+00    2.181019e+00    7.080871e-04
    1.937580e+00    1.689723e+00    4.251151e-04
    1.960646e+00    1.200769e+00    3.826763e-04
    1.983713e+00    8.018782e-01    5.408086e-04
    2.006779e+00    5.423613e-01    5.862045e-04
    2.029846e+00    4.339740e-01    5.878286e-04
    2.052912e+00    4.613650e-01    4.891134e-04
    2.075979e+00    5.866093e-01    3.686961e-04
    2.099045e+00    7.583205e-01    2.356572e-04
    2.122111e+00    9.179015e-01    2.748172e-04
    2.145178e+00    1.014408e+00    4.089756e-04
    2.168244e+00    1.021772e+00    4.547506e-04
    2.191311e+00    9.196316e-01    3.910838e-04
    2.214377e+00    7.811004e-01    2.578729e-04
    2.237444e+00    6.538417e-01    3.146026e-04
    2.260510e+00    5.717781e-01    4.883991e-04
    2.283576e+00    5.729078e-01    6.186152e-04
