#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1    1.200000e+00    1.200000e+00    0.000000e+00
               2    1.200000e+00    1.200000e+00    0.000000e+00
               3    1.200000e+00    1.200000e+00    0.000000e+00
               4    1.200000e+00    1.200000e+00    0.000000e+00
               5    1.200000e+00    1.200000e+00    0.000000e+00
               6    1.200000e+00    1.200000e+00    8.603189e-09
               7    1.200000e+00    1.200000e+00    7.965006e-09
               8    1.200000e+00    1.200000e+00    7.450581e-09
               9    1.200000e+00    1.200000e+00    7.024475e-09
              10    1.200000e+00    1.200000e+00    6.664002e-09
              11    1.200000e+00    1.200000e+00    6.353876e-09
              12    1.200000e+00    1.200000e+00    6.083374e-09
              13    1.200000e+00    1.200000e+00    5.844716e-09
              14    1.200000e+00    1.200000e+00    5.632110e-09
              15    1.200000e+00    1.200000e+00    0.000000e+00
              16    1.200000e+00    1.200000e+00    0.000000e+00
              17    1.200000e+00    1.200000e+00    0.000000e+00
              18    1.200000e+00    1.200000e+00    4.967054e-09
              19    1.200000e+00    1.200000e+00    4.834575e-09
              20    1.200000e+00    1.200000e+00    4.712161e-09
              21    1.200000e+00    1.200000e+00    4.598598e-09
              22    1.200000e+00    1.200000e+00    7.103850e-09
              23    1.200000e+00    1.200000e+00    6.947702e-09
              24    1.200000e+00    1.200000e+00    6.801418e-09
              25    1.200000e+00    1.200000e+00    7.300048e-09
              26    1.200000e+00    1.200000e+00    7.158286e-09
              27    1.200000e+00    1.200000e+00    7.587300e-09
              28    1.200000e+00    1.200000e+00    5.632110e-09
              29    1.200000e+00    1.200000e+00    6.187370e-09
              30    1.200000e+00    1.200000e+00    6.083374e-09
              31    1.200000e+00    1.200000e+00    5.352655e-09
              32    1.200000e+00    1.200000e+00    5.268356e-09
              33    1.200000e+00    1.200000e+00    5.187918e-09
              34    1.200000e+00    1.200000e+00    4.426304e-09
              35    1.200000e+00    1.200000e+00    4.362613e-09
              36    1.200000e+00    1.200000e+00    4.301595e-09
              37    1.200000e+00    1.200000e+00    4.243067e-09
              38    1.200000e+00    1.200000e+00    2.417288e-09
              39    1.200000e+00    1.200000e+00    2.386095e-09
              40    1.200000e+00    1.200000e+00    2.356080e-09
              41    1.200000e+00    1.200000e+00    2.327170e-09
              42    1.200000e+00    1.200000e+00    3.251700e-09
              43    1.200000e+00    1.200000e+00    0.000000e+00
              44    1.200000e+00    1.200000e+00    0.000000e+00
              45    1.200000e+00    1.200000e+00    0.000000e+00
              46    1.200000e+00    1.200000e+00    0.000000e+00
              47    1.200000e+00    1.200000e+00    2.173558e-09
              48    1.200000e+00    1.200000e+00    2.150797e-09
              49    1.200000e+00    1.200000e+00    3.010489e-09
              50    1.200000e+00    1.200000e+00    4.712161e-09
              51    1.200000e+00    1.200000e+00    5.111056e-09
              52    1.200000e+00    1.200000e+00    5.061673e-09
              53    1.200000e+00    1.200000e+00    5.013694e-09
              54    1.200000e+00    1.200000e+00    5.365031e-09
              55    1.200000e+00    1.200000e+00    5.316034e-09
              56    1.200000e+00    1.200000e+00    5.632110e-09
              57    1.200000e+00    1.200000e+00    5.582486e-09
              58    1.200000e+00    1.200000e+00    5.534152e-09
              59    1.200000e+00    1.200000e+00    6.434139e-09
              60    1.200000e+00    1.200000e+00    6.380296e-09
              61    1.200000e+00    1.200000e+00    6.327782e-09
              62    1.200000e+00    1.200000e+00    6.276544e-09
              63    1.200000e+00    1.200000e+00    6.503400e-09
              64    1.200000e+00    1.200000e+00    6.452392e-09
              65    1.200000e+00    1.200000e+00    6.402566e-09
              66    1.200000e+00    1.200000e+00    6.613324e-09
              67    1.200000e+00    1.200000e+00    6.563786e-09
              68    1.200000e+00    1.200000e+00    6.515344e-09
              69    1.200000e+00    1.200000e+00    6.467959e-09
              70    1.200000e+00    1.200000e+00    6.421593e-09
              71    1.200000e+00    1.200000e+00    6.616906e-09
              72    1.200000e+00    1.200000e+00    7.024475e-09
              73    1.200000e+00    1.200000e+00    6.976196e-09
              74    1.200000e+00    1.200000e+00    6.928899e-09
              75    1.200000e+00    1.200000e+00    6.882552e-09
              76    1.200000e+00    1.200000e+00    7.047544e-09
              77    1.200000e+00    1.200000e+00    7.001631e-09
              78    1.200000e+00    1.200000e+00    6.956604e-09
              79    1.200000e+00    1.200000e+00    6.912434e-09
              80    1.200000e+00    1.200000e+00    6.869096e-09
              81    1.200000e+00    1.200000e+00    7.024475e-09
              82    1.200000e+00    1.200000e+00    6.981511e-09
              83    1.200000e+00    1.200000e+00    6.939326e-09
              84    1.200000e+00    1.200000e+00    6.897897e-09
              85    1.200000e+00    1.200000e+00    6.857201e-09
              86    1.200000e+00    1.200000e+00    6.817217e-09
              87    1.200000e+00    1.200000e+00    6.777925e-09
              88    1.200000e+00    1.200000e+00    6.923976e-09
              89    1.200000e+00    1.200000e+00    6.701336e-09
              90    1.200000e+00    1.200000e+00    6.664002e-09
              91    1.200000e+00    1.200000e+00    6.627285e-09
              92    1.200000e+00    1.200000e+00    7.119276e-09
              93    1.200000e+00    1.200000e+00    7.247529e-09
              94    1.200000e+00    1.200000e+00    7.208876e-09
              95    1.200000e+00    1.200000e+00    7.170834e-09
              96    1.200000e+00    1.200000e+00    7.133388e-09
              97    1.200000e+00    1.200000e+00    7.096523e-09
              98    1.200000e+00    1.200000e+00    7.060223e-09
              99    1.200000e+00    1.200000e+00    7.024475e-09
             100    1.200000e+00    1.200000e+00    6.989264e-09
             101    1.200000e+00    1.200000e+00    7.110880e-09
             102    1.200000e+00    1.200000e+00    7.075937e-09
             103    1.200000e+00    1.200000e+00    7.041504e-09
             104    1.200000e+00    1.200000e+00    7.007569e-09
             105    1.200000e+00    1.200000e+00    6.974119e-09
             106    1.200000e+00    1.200000e+00    6.941145e-09
             107    1.200000e+00    1.200000e+00    6.908633e-09
             108    1.200000e+00    1.200000e+00    6.412439e-09
             109    1.200000e+00    1.200000e+00    6.382956e-09
             110    1.200000e+00    1.200000e+00    6.192993e-09
             111    1.200000e+00    1.200000e+00    6.165033e-09
             112    1.200000e+00    1.200000e+00    5.805446e-09
             113    1.200000e+00    1.200000e+00    5.779701e-09
             114    1.200000e+00    1.200000e+00    5.221938e-09
             115    1.200000e+00    1.200000e+00    5.199184e-09
             116    1.200000e+00    1.200000e+00    4.792717e-09
