#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1   -7.545391e+00   -7.545391e+00    0.000000e+00
               2   -7.555977e+00   -7.550684e+00    3.742759e-03
               3   -7.539130e+00   -7.546833e+00    4.014433e-03
               4   -7.550319e+00   -7.547704e+00    3.104020e-03
               5   -7.549834e+00   -7.548130e+00    2.512270e-03
               6   -7.562531e+00   -7.550530e+00    3.030366e-03
               7   -7.546692e+00   -7.549982e+00    2.646595e-03
               8   -7.539479e+00   -7.548669e+00    2.621256e-03
               9   -7.541107e+00   -7.547829e+00    2.460983e-03
              10   -7.545306e+00   -7.547577e+00    2.227784e-03
              11   -7.553223e+00   -7.548090e+00    2.083555e-03
              12   -7.534019e+00   -7.546917e+00    2.215460e-03
              13   -7.542895e+00   -7.546608e+00    2.066533e-03
              14   -7.537849e+00   -7.545982e+00    2.011405e-03
              15   -7.544989e+00   -7.545916e+00    1.878401e-03
              16   -7.560082e+00   -7.546801e+00    1.958568e-03
              17   -7.554737e+00   -7.547268e+00    1.898167e-03
              18   -7.518763e+00   -7.545685e+00    2.362711e-03
              19   -7.553068e+00   -7.546073e+00    2.270091e-03
              20   -7.553694e+00   -7.546454e+00    2.188333e-03
              21   -7.548354e+00   -7.546545e+00    2.085997e-03
              22   -7.555366e+00   -7.546946e+00    2.029348e-03
              23   -7.542931e+00   -7.546771e+00    1.948608e-03
              24   -7.536877e+00   -7.546359e+00    1.910528e-03
              25   -7.543479e+00   -7.546244e+00    1.837578e-03
              26   -7.539434e+00   -7.545982e+00    1.785467e-03
              27   -7.539988e+00   -7.545760e+00    1.733082e-03
              28   -7.551808e+00   -7.545976e+00    1.684594e-03
              29   -7.539529e+00   -7.545754e+00    1.641106e-03
              30   -7.553832e+00   -7.546023e+00    1.608346e-03
              31   -7.558068e+00   -7.546411e+00    1.602710e-03
              32   -7.552728e+00   -7.546609e+00    1.564733e-03
              33   -7.541901e+00   -7.546466e+00    1.523807e-03
              34   -7.545361e+00   -7.546434e+00    1.479336e-03
              35   -7.521792e+00   -7.545730e+00    1.595835e-03
              36   -7.538301e+00   -7.545523e+00    1.564792e-03
              37   -7.554168e+00   -7.545757e+00    1.539846e-03
              38   -7.544110e+00   -7.545713e+00    1.499933e-03
              39   -7.551922e+00   -7.545873e+00    1.469898e-03
              40   -7.553172e+00   -7.546055e+00    1.444433e-03
              41   -7.553027e+00   -7.546225e+00    1.419177e-03
              42   -7.533488e+00   -7.545922e+00    1.417421e-03
              43   -7.550147e+00   -7.546020e+00    1.387859e-03
              44   -7.541743e+00   -7.545923e+00    1.359717e-03
              45   -7.550996e+00   -7.546036e+00    1.334166e-03
              46   -7.555938e+00   -7.546251e+00    1.322416e-03
              47   -7.533449e+00   -7.545979e+00    1.322031e-03
              48   -7.556745e+00   -7.546203e+00    1.313380e-03
              49   -7.541239e+00   -7.546102e+00    1.290478e-03
              50   -7.536953e+00   -7.545919e+00    1.277573e-03
              51   -7.543765e+00   -7.545876e+00    1.253220e-03
              52   -7.546186e+00   -7.545882e+00    1.229134e-03
              53   -7.548663e+00   -7.545935e+00    1.207062e-03
              54   -7.550843e+00   -7.546026e+00    1.188127e-03
              55   -7.539019e+00   -7.545898e+00    1.173335e-03
              56   -7.555593e+00   -7.546071e+00    1.165084e-03
              57   -7.559277e+00   -7.546303e+00    1.167452e-03
              58   -7.561370e+00   -7.546563e+00    1.175871e-03
              59   -7.553775e+00   -7.546685e+00    1.162277e-03
              60   -7.538590e+00   -7.546550e+00    1.150709e-03
              61   -7.548361e+00   -7.546580e+00    1.132228e-03
              62   -7.547080e+00   -7.546588e+00    1.113995e-03
              63   -7.550048e+00   -7.546643e+00    1.097666e-03
              64   -7.553080e+00   -7.546743e+00    1.085113e-03
              65   -7.523630e+00   -7.546388e+00    1.125175e-03
              66   -7.549397e+00   -7.546433e+00    1.109050e-03
              67   -7.550770e+00   -7.546498e+00    1.094384e-03
              68   -7.563277e+00   -7.546745e+00    1.105756e-03
              69   -7.540312e+00   -7.546652e+00    1.093654e-03
              70   -7.552068e+00   -7.546729e+00    1.080764e-03
              71   -7.539055e+00   -7.546621e+00    1.070934e-03
              72   -7.546670e+00   -7.546622e+00    1.056060e-03
              73   -7.555937e+00   -7.546749e+00    1.049274e-03
              74   -7.552966e+00   -7.546833e+00    1.038452e-03
              75   -7.548204e+00   -7.546852e+00    1.024767e-03
              76   -7.544425e+00   -7.546820e+00    1.011780e-03
              77   -7.550806e+00   -7.546871e+00    9.999642e-04
              78   -7.542957e+00   -7.546821e+00    9.884028e-04
              79   -7.547063e+00   -7.546824e+00    9.758961e-04
              80   -7.531014e+00   -7.546627e+00    9.835044e-04
              81   -7.544437e+00   -7.546600e+00    9.717336e-04
              82   -7.548317e+00   -7.546621e+00    9.601090e-04
              83   -7.557213e+00   -7.546748e+00    9.569849e-04
              84   -7.540371e+00   -7.546672e+00    9.485987e-04
              85   -7.548180e+00   -7.546690e+00    9.376046e-04
              86   -7.559691e+00   -7.546841e+00    9.388111e-04
              87   -7.549200e+00   -7.546868e+00    9.284116e-04
              88   -7.529451e+00   -7.546670e+00    9.387210e-04
              89   -7.555511e+00   -7.546770e+00    9.334138e-04
              90   -7.555848e+00   -7.546871e+00    9.284763e-04
              91   -7.557545e+00   -7.546988e+00    9.256533e-04
              92   -7.546568e+00   -7.546983e+00    9.156031e-04
              93   -7.522658e+00   -7.546722e+00    9.423777e-04
              94   -7.543130e+00   -7.546684e+00    9.331268e-04
              95   -7.545323e+00   -7.546669e+00    9.234143e-04
              96   -7.557119e+00   -7.546778e+00    9.201888e-04
              97   -7.543482e+00   -7.546744e+00    9.113295e-04
              98   -7.534290e+00   -7.546617e+00    9.108476e-04
              99   -7.552343e+00   -7.546675e+00    9.034818e-04
             100   -7.543814e+00   -7.546646e+00    8.948997e-04
             101   -7.552750e+00   -7.546707e+00    8.880773e-04
             102   -7.553286e+00   -7.546771e+00    8.817104e-04
             103   -7.544010e+00   -7.546744e+00    8.735576e-04
             104   -7.543807e+00   -7.546716e+00    8.656144e-04
             105   -7.554523e+00   -7.546790e+00    8.605579e-04
             106   -7.546718e+00   -7.546790e+00    8.524397e-04
             107   -7.531987e+00   -7.546651e+00    8.556252e-04
             108   -7.557607e+00   -7.546753e+00    8.536946e-04
             109   -7.538948e+00   -7.546681e+00    8.488600e-04
             110   -7.534238e+00   -7.546568e+00    8.486475e-04
             111   -7.546521e+00   -7.546568e+00    8.410021e-04
             112   -7.532535e+00   -7.546442e+00    8.427742e-04
             113   -7.549351e+00   -7.546468e+00    8.357090e-04
             114   -7.552255e+00   -7.546519e+00    8.299187e-04
             115   -7.541053e+00   -7.546471e+00    8.240620e-04
             116   -7.542015e+00   -7.546433e+00    8.178532e-04
             117   -7.548070e+00   -7.546447e+00    8.109828e-04
             118   -7.544819e+00   -7.546433e+00    8.042273e-04
             119   -7.558320e+00   -7.546533e+00    8.036489e-04
             120   -7.548314e+00   -7.546548e+00    7.970888e-04
             121   -7.544215e+00   -7.546529e+00    7.907344e-04
             122   -7.539003e+00   -7.546467e+00    7.866555e-04
             123   -7.546335e+00   -7.546466e+00    7.802606e-04
             124   -7.542991e+00   -7.546438e+00    7.744712e-04
             125   -7.557336e+00   -7.546525e+00    7.731676e-04
             126   -7.526122e+00   -7.546363e+00    7.838054e-04
             127   -7.544474e+00   -7.546348e+00    7.777747e-04
             128   -7.553494e+00   -7.546404e+00    7.736992e-04
             129   -7.559399e+00   -7.546505e+00    7.742313e-04
             130   -7.547579e+00   -7.546513e+00    7.683198e-04
             131   -7.552656e+00   -7.546560e+00    7.638846e-04
             132   -7.546343e+00   -7.546558e+00    7.580994e-04
             133   -7.551735e+00   -7.546597e+00    7.533979e-04
             134   -7.541133e+00   -7.546556e+00    7.488782e-04
             135   -7.547421e+00   -7.546563e+00    7.433583e-04
             136   -7.550739e+00   -7.546594e+00    7.385265e-04
             137   -7.550850e+00   -7.546625e+00    7.337889e-04
             138   -7.552431e+00   -7.546667e+00    7.296769e-04
             139   -7.544577e+00   -7.546652e+00    7.245824e-04
             140   -7.551471e+00   -7.546686e+00    7.202241e-04
             141   -7.554172e+00   -7.546739e+00    7.170705e-04
             142   -7.548243e+00   -7.546750e+00    7.120989e-04
             143   -7.548191e+00   -7.546760e+00    7.071905e-04
             144   -7.553356e+00   -7.546806e+00    7.037613e-04
             145   -7.550573e+00   -7.546832e+00    6.993873e-04
             146   -7.541476e+00   -7.546795e+00    6.955584e-04
             147   -7.553571e+00   -7.546841e+00    6.923523e-04
             148   -7.543747e+00   -7.546820e+00    6.879898e-04
             149   -7.555848e+00   -7.546881e+00    6.860354e-04
             150   -7.544720e+00   -7.546866e+00    6.816131e-04
             151   -7.538581e+00   -7.546812e+00    6.793038e-04
             152   -7.540235e+00   -7.546768e+00    6.762110e-04
             153   -7.554065e+00   -7.546816e+00    6.734710e-04
             154   -7.550055e+00   -7.546837e+00    6.694262e-04
             155   -7.527690e+00   -7.546713e+00    6.764090e-04
             156   -7.557987e+00   -7.546786e+00    6.759226e-04
             157   -7.552120e+00   -7.546820e+00    6.724709e-04
             158   -7.554934e+00   -7.546871e+00    6.701730e-04
             159   -7.558181e+00   -7.546942e+00    6.697223e-04
             160   -7.536761e+00   -7.546879e+00    6.685526e-04
             161   -7.552166e+00   -7.546911e+00    6.652063e-04
             162   -7.568983e+00   -7.547048e+00    6.749088e-04
             163   -7.528222e+00   -7.546932e+00    6.805786e-04
             164   -7.554877e+00   -7.546981e+00    6.781506e-04
             165   -7.544295e+00   -7.546964e+00    6.742359e-04
             166   -7.541027e+00   -7.546929e+00    6.711224e-04
             167   -7.559055e+00   -7.547001e+00    6.710207e-04
             168   -7.555325e+00   -7.547051e+00    6.688532e-04
             169   -7.526277e+00   -7.546928e+00    6.760964e-04
             170   -7.556060e+00   -7.546982e+00    6.742499e-04
             171   -7.548487e+00   -7.546990e+00    6.703644e-04
             172   -7.548092e+00   -7.546997e+00    6.664975e-04
             173   -7.542460e+00   -7.546970e+00    6.631605e-04
             174   -7.545448e+00   -7.546962e+00    6.594070e-04
             175   -7.551939e+00   -7.546990e+00    6.562519e-04
             176   -7.552377e+00   -7.547021e+00    6.532365e-04
             177   -7.544480e+00   -7.547006e+00    6.497036e-04
             178   -7.544252e+00   -7.546991e+00    6.462379e-04
             179   -7.558060e+00   -7.547053e+00    6.455796e-04
             180   -7.539859e+00   -7.547013e+00    6.432289e-04
             181   -7.550714e+00   -7.547033e+00    6.400000e-04
             182   -7.553739e+00   -7.547070e+00    6.375431e-04
             183   -7.546763e+00   -7.547068e+00    6.340615e-04
             184   -7.544164e+00   -7.547053e+00    6.308120e-04
             185   -7.537883e+00   -7.547003e+00    6.293467e-04
             186   -7.543610e+00   -7.546985e+00    6.262274e-04
             187   -7.542580e+00   -7.546961e+00    6.233214e-04
             188   -7.540313e+00   -7.546926e+00    6.210081e-04
             189   -7.559702e+00   -7.546994e+00    6.213903e-04
             190   -7.535010e+00   -7.546930e+00    6.213125e-04
             191   -7.550107e+00   -7.546947e+00    6.182822e-04
             192   -7.532994e+00   -7.546874e+00    6.193179e-04
             193   -7.532608e+00   -7.546800e+00    6.205050e-04
             194   -7.546170e+00   -7.546797e+00    6.173150e-04
             195   -7.546755e+00   -7.546797e+00    6.141493e-04
             196   -7.542829e+00   -7.546777e+00    6.113495e-04
             197   -7.545003e+00   -7.546768e+00    6.083125e-04
             198   -7.537997e+00   -7.546723e+00    6.068509e-04
             199   -7.550052e+00   -7.546740e+00    6.040319e-04
             200   -7.548020e+00   -7.546747e+00    6.010457e-04
             201   -7.559351e+00   -7.546809e+00    6.013179e-04
             202   -7.528688e+00   -7.546720e+00    6.049960e-04
             203   -7.543295e+00   -7.546703e+00    6.022508e-04
             204   -7.553338e+00   -7.546735e+00    6.001763e-04
             205   -7.542127e+00   -7.546713e+00    5.976695e-04
             206   -7.546679e+00   -7.546713e+00    5.947682e-04
             207   -7.560441e+00   -7.546779e+00    5.955812e-04
             208   -7.543238e+00   -7.546762e+00    5.929611e-04
             209   -7.553449e+00   -7.546794e+00    5.909865e-04
             210   -7.545322e+00   -7.546787e+00    5.882138e-04
             211   -7.558187e+00   -7.546841e+00    5.879024e-04
             212   -7.541703e+00   -7.546817e+00    5.856285e-04
             213   -7.550871e+00   -7.546836e+00    5.831883e-04
             214   -7.529502e+00   -7.546755e+00    5.860613e-04
             215   -7.557526e+00   -7.546805e+00    5.854728e-04
             216   -7.547016e+00   -7.546806e+00    5.827631e-04
             217   -7.544088e+00   -7.546793e+00    5.802122e-04
             218   -7.528028e+00   -7.546707e+00    5.839010e-04
             219   -7.555565e+00   -7.546748e+00    5.826339e-04
             220   -7.546630e+00   -7.546747e+00    5.799858e-04
             221   -7.549211e+00   -7.546758e+00    5.774686e-04
             222   -7.561266e+00   -7.546824e+00    5.785532e-04
             223   -7.546585e+00   -7.546823e+00    5.759598e-04
             224   -7.550519e+00   -7.546839e+00    5.736248e-04
             225   -7.539892e+00   -7.546808e+00    5.719058e-04
             226   -7.548752e+00   -7.546817e+00    5.694399e-04
             227   -7.559678e+00   -7.546873e+00    5.697429e-04
             228   -7.547563e+00   -7.546876e+00    5.672521e-04
             229   -7.546592e+00   -7.546875e+00    5.647763e-04
             230   -7.554193e+00   -7.546907e+00    5.632164e-04
             231   -7.558160e+00   -7.546956e+00    5.628808e-04
             232   -7.538080e+00   -7.546917e+00    5.617532e-04
             233   -7.533820e+00   -7.546861e+00    5.621477e-04
             234   -7.543421e+00   -7.546847e+00    5.599377e-04
             235   -7.548308e+00   -7.546853e+00    5.575895e-04
             236   -7.529217e+00   -7.546778e+00    5.602122e-04
             237   -7.552963e+00   -7.546804e+00    5.584560e-04
             238   -7.553814e+00   -7.546834e+00    5.568856e-04
             239   -7.542744e+00   -7.546816e+00    5.548184e-04
             240   -7.538466e+00   -7.546782e+00    5.535967e-04
             241   -7.544872e+00   -7.546774e+00    5.513564e-04
             242   -7.548265e+00   -7.546780e+00    5.491124e-04
             243   -7.534097e+00   -7.546728e+00    5.493275e-04
             244   -7.533679e+00   -7.546674e+00    5.496730e-04
