#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1    7.604754e+00    7.604754e+00    0.000000e+00
               2    7.543948e+00    7.574351e+00    2.149810e-02
               3    7.634262e+00    7.594321e+00    2.170911e-02
               4    7.577730e+00    7.590173e+00    1.667337e-02
               5    7.575080e+00    7.587154e+00    1.360922e-02
               6    7.505575e+00    7.573558e+00    1.681293e-02
               7    7.592133e+00    7.576211e+00    1.461899e-02
               8    7.632513e+00    7.583249e+00    1.438621e-02
               9    7.626642e+00    7.588071e+00    1.357166e-02
              10    7.599150e+00    7.589179e+00    1.225963e-02
              11    7.555815e+00    7.586146e+00    1.151420e-02
              12    7.660918e+00    7.592377e+00    1.212402e-02
              13    7.613489e+00    7.594001e+00    1.129965e-02
              14    7.638720e+00    7.597195e+00    1.093470e-02
              15    7.606268e+00    7.597800e+00    1.022244e-02
              16    7.518607e+00    7.592850e+00    1.071499e-02
              17    7.550860e+00    7.590380e+00    1.036548e-02
              18    7.744422e+00    7.598938e+00    1.284544e-02
              19    7.557161e+00    7.596739e+00    1.235613e-02
              20    7.552959e+00    7.594550e+00    1.193064e-02
              21    7.580274e+00    7.593870e+00    1.138187e-02
              22    7.548171e+00    7.591793e+00    1.105244e-02
              23    7.611535e+00    7.592651e+00    1.060518e-02
              24    7.646654e+00    7.594902e+00    1.039926e-02
              25    7.610746e+00    7.595535e+00    1.000258e-02
              26    7.633104e+00    7.596980e+00    9.721677e-03
              27    7.632012e+00    7.598278e+00    9.447800e-03
              28    7.568541e+00    7.597216e+00    9.169878e-03
              29    7.634135e+00    7.598489e+00    8.941611e-03
              30    7.550307e+00    7.596883e+00    8.786610e-03
              31    7.528588e+00    7.594680e+00    8.775010e-03
              32    7.559752e+00    7.593588e+00    8.568405e-03
              33    7.617382e+00    7.594309e+00    8.339039e-03
              34    7.604644e+00    7.594613e+00    8.099311e-03
              35    7.730071e+00    7.598483e+00    8.743833e-03
              36    7.641524e+00    7.599679e+00    8.582296e-03
              37    7.551254e+00    7.598370e+00    8.449545e-03
              38    7.605597e+00    7.598560e+00    8.229328e-03
              39    7.560584e+00    7.597587e+00    8.075725e-03
              40    7.560046e+00    7.596648e+00    7.928179e-03
              41    7.554942e+00    7.595631e+00    7.799793e-03
              42    7.666674e+00    7.597322e+00    7.795341e-03
              43    7.571769e+00    7.596728e+00    7.636672e-03
              44    7.622452e+00    7.597313e+00    7.485456e-03
              45    7.568197e+00    7.596666e+00    7.347023e-03
              46    7.539627e+00    7.595426e+00    7.291191e-03
              47    7.666152e+00    7.596931e+00    7.289693e-03
              48    7.537325e+00    7.595689e+00    7.242820e-03
              49    7.623000e+00    7.596246e+00    7.116421e-03
              50    7.645025e+00    7.597222e+00    7.040644e-03
              51    7.604440e+00    7.597363e+00    6.904015e-03
              52    7.596273e+00    7.597342e+00    6.771277e-03
              53    7.579021e+00    7.596997e+00    6.652335e-03
              54    7.568586e+00    7.596471e+00    6.549916e-03
              55    7.629755e+00    7.597076e+00    6.458723e-03
              56    7.545770e+00    7.596160e+00    6.408040e-03
