#      BETA:           MU:        SIGMA:       ENERGY:        ERROR:
           1             2             2        46.484      0.307734
           1       1.01793       1.97155       12.3678      0.112929
           1     0.0774819       1.89015       5.25083     0.0508605
           1     -0.284965       1.65266       2.52744     0.0298403
           1     -0.625079      0.774923     -0.326841    0.00166816
           3     -0.625079      0.774923     -0.326841    0.00166816
           3     -0.625079      0.774923     -0.326841    0.00166816
           3     -0.771231      0.663071     -0.430281    0.00116967
           3     -0.771231      0.663071     -0.430281    0.00116967
           3     -0.771231      0.663071     -0.430281    0.00116967
           5     -0.771231      0.663071     -0.430281    0.00116967
           5     -0.771231      0.663071     -0.430281    0.00116967
           5     -0.771231      0.663071     -0.430281    0.00116967
           5     -0.808798      0.702524     -0.394594     0.0016595
           5     -0.808798      0.702524     -0.394594     0.0016595
           7     -0.667623      0.926142     -0.196779    0.00369436
           7     -0.428909      0.668918     -0.144452    0.00204583
           7     -0.393095      0.993848     -0.231615    0.00292257
           7     -0.393095      0.993848     -0.231615    0.00292257
           7     -0.725524      0.896532     -0.201616    0.00396655
           9     -0.725524      0.896532     -0.201616    0.00396655
           9     -0.725524      0.896532     -0.201616    0.00396655
           9     -0.725524      0.896532     -0.201616    0.00396655
           9     -0.932405      0.565369     -0.349568    0.00122403
           9     -0.932405      0.565369     -0.349568    0.00122403
          11     -0.681575      0.671627     -0.388551    0.00123852
          11     -0.794248      0.742846     -0.359177    0.00243487
          11     -0.794248      0.742846     -0.359177    0.00243487
          11     -0.794248      0.742846     -0.359177    0.00243487
          11     -0.794248      0.742846     -0.359177    0.00243487
          13     -0.646402      0.702287     -0.359713    0.00114356
          13     -0.705134      0.639489     -0.412839    0.00102465
          13     -0.705134      0.639489     -0.412839    0.00102465
          13     -0.705134      0.639489     -0.412839    0.00102465
          13     -0.847618      0.618353     -0.436536    0.00104224
          15     -0.847618      0.618353     -0.436536    0.00104224
          15     -0.847618      0.618353     -0.436536    0.00104224
          15     -0.847618      0.618353     -0.436536    0.00104224
          15     -0.847618      0.618353     -0.436536    0.00104224
          15     -0.847618      0.618353     -0.436536    0.00104224
          17     -0.847618      0.618353     -0.436536    0.00104224
          17     -0.847618      0.618353     -0.436536    0.00104224
          17     -0.778095      0.663601     -0.431024    0.00108887
          17     -0.771177      0.656554     -0.434348   0.000994357
          17     -0.771177      0.656554     -0.434348   0.000994357
          19     -0.902879      0.611469     -0.401361    0.00127573
          19     -0.902879      0.611469     -0.401361    0.00127573
          19     -0.902879      0.611469     -0.401361    0.00127573
          19     -0.902879      0.611469     -0.401361    0.00127573
          19     -0.902879      0.611469     -0.401361    0.00127573
          21     -0.902879      0.611469     -0.401361    0.00127573
          21     -0.902879      0.611469     -0.401361    0.00127573
          21     -0.902879      0.611469     -0.401361    0.00127573
          21     -0.902879      0.611469     -0.401361    0.00127573
          21     -0.811837      0.567531     -0.422046     0.0010362
          23     -0.811837      0.567531     -0.422046     0.0010362
          23     -0.811837      0.567531     -0.422046     0.0010362
          23     -0.811837      0.567531     -0.422046     0.0010362
          23     -0.811837      0.567531     -0.422046     0.0010362
          23     -0.686182      0.655927     -0.397381    0.00106879
          25     -0.686182      0.655927     -0.397381    0.00106879
          25     -0.702074       0.58398     -0.401307   0.000997957
          25     -0.702074       0.58398     -0.401307   0.000997957
          25     -0.702074       0.58398     -0.401307   0.000997957
          25     -0.702074       0.58398     -0.401307   0.000997957
          27     -0.677511      0.636855     -0.393762    0.00101795
          27     -0.677511      0.636855     -0.393762    0.00101795
          27     -0.765413      0.749613     -0.360446    0.00196169
          27     -0.765413      0.749613     -0.360446    0.00196169
          27     -0.765413      0.749613     -0.360446    0.00196169
          29     -0.634577       0.64327     -0.358382    0.00111569
          29     -0.596257      0.773772     -0.316298     0.0018417
          29     -0.596257      0.773772     -0.316298     0.0018417
          29     -0.764415      0.650069     -0.435005   0.000874192
          29     -0.748193      0.708051     -0.399675    0.00145905
          31     -0.822722      0.743263     -0.350216    0.00244917
          31     -0.822722      0.743263     -0.350216    0.00244917
          31     -0.822722      0.743263     -0.350216    0.00244917
          31     -0.882348      0.619133     -0.416802    0.00114952
          31     -0.752922       0.52307     -0.355114    0.00186952
          33     -0.752922       0.52307     -0.355114    0.00186952
          33     -0.816665      0.675878     -0.418126    0.00121686
          33     -0.740627      0.668763     -0.420205    0.00100842
          33     -0.845852      0.627616     -0.435275   0.000999244
          33     -0.809673      0.693321     -0.406902    0.00159508
          35     -0.809673      0.693321     -0.406902    0.00159508
          35     -0.809673      0.693321     -0.406902    0.00159508
          35     -0.809673      0.693321     -0.406902    0.00159508
          35     -0.714171      0.706402     -0.390532    0.00148444
          35     -0.726036      0.593379      -0.42021   0.000786611
          37     -0.726036      0.593379      -0.42021   0.000786611
          37     -0.726036      0.593379      -0.42021   0.000786611
          37     -0.726036      0.593379      -0.42021   0.000786611
          37      -0.70834      0.596348     -0.412927   0.000821238
          37      -0.70834      0.596348     -0.412927   0.000821238
          39      -0.70834      0.596348     -0.412927   0.000821238
          39      -0.70834      0.596348     -0.412927   0.000821238
          39     -0.819283      0.637397     -0.438489   0.000981703
          39     -0.748975      0.639569     -0.431512   0.000802175
          39      -0.75617      0.606974     -0.438487   0.000755013
          41      -0.75617      0.606974     -0.438487   0.000755013
          41      -0.75617      0.606974     -0.438487   0.000755013
          41     -0.744396      0.679099     -0.414307    0.00119613
          41     -0.744396      0.679099     -0.414307    0.00119613
          41     -0.861631      0.667362     -0.404061    0.00180135
          43     -0.803538      0.613555     -0.443178   0.000868488
          43     -0.803538      0.613555     -0.443178   0.000868488
          43     -0.803538      0.613555     -0.443178   0.000868488
          43     -0.803538      0.613555     -0.443178   0.000868488
          43     -0.808386      0.706309     -0.393869    0.00174546
          45     -0.808386      0.706309     -0.393869    0.00174546
          45     -0.808386      0.706309     -0.393869    0.00174546
          45     -0.808386      0.706309     -0.393869    0.00174546
          45     -0.808386      0.706309     -0.393869    0.00174546
          45     -0.808386      0.706309     -0.393869    0.00174546
          47     -0.808386      0.706309     -0.393869    0.00174546
          47     -0.808386      0.706309     -0.393869    0.00174546
          47     -0.887335      0.647798     -0.402199    0.00155095
          47     -0.887335      0.647798     -0.402199    0.00155095
          47     -0.887335      0.647798     -0.402199    0.00155095
          49     -0.887335      0.647798     -0.402199    0.00155095
          49     -0.764589      0.735242     -0.378013    0.00141367
          49     -0.728309      0.741164      -0.37206    0.00172062
          49     -0.728309      0.741164      -0.37206    0.00172062
          49     -0.728309      0.741164      -0.37206    0.00172062
          51     -0.728309      0.741164      -0.37206    0.00172062
          51     -0.728309      0.741164      -0.37206    0.00172062
          51     -0.728309      0.741164      -0.37206    0.00172062
          51     -0.704034      0.746947     -0.362542    0.00176346
          51     -0.745193      0.768478     -0.341402     0.0024608
          53     -0.693964      0.633771     -0.405222   0.000977338
          53     -0.693964      0.633771     -0.405222   0.000977338
          53     -0.723177      0.672014     -0.413042   0.000953544
          53     -0.723177      0.672014     -0.413042   0.000953544
          53     -0.723177      0.672014     -0.413042   0.000953544
          55     -0.723177      0.672014     -0.413042   0.000953544
          55     -0.792853      0.650478      -0.43675   0.000916021
          55     -0.792853      0.650478      -0.43675   0.000916021
          55     -0.792853      0.650478      -0.43675   0.000916021
          55     -0.792853      0.650478      -0.43675   0.000916021
          57     -0.792853      0.650478      -0.43675   0.000916021
          57     -0.792853      0.650478      -0.43675   0.000916021
          57     -0.792853      0.650478      -0.43675   0.000916021
          57      -0.76832      0.644466     -0.435953   0.000671571
          57      -0.76832      0.644466     -0.435953   0.000671571
