#   N_BLOCK:   ACCEPTANCE:
           0        0.5067
           1        0.5145
           2        0.4991
           3        0.5156
           4        0.5181
           5        0.5069
           6        0.5165
           7        0.5136
           8         0.515
           9        0.5119
          10        0.5087
          11        0.5228
          12        0.5145
          13        0.5157
          14        0.4899
          15        0.5129
          16        0.5023
          17        0.5052
          18        0.5124
          19         0.515
          20         0.507
          21        0.5188
          22        0.5061
          23        0.5161
          24         0.514
          25        0.5084
          26        0.5116
          27        0.5138
          28        0.5093
          29        0.5103
          30        0.5082
          31        0.5077
          32        0.5115
          33        0.5126
          34        0.5147
          35        0.5101
          36        0.5097
          37        0.5053
          38        0.5102
          39        0.5118
          40        0.5054
          41        0.5126
          42        0.5099
          43        0.5069
          44        0.5109
          45         0.515
          46        0.5162
          47        0.5078
          48        0.5127
          49         0.514
          50        0.5142
          51        0.5055
          52        0.5045
          53        0.5136
          54        0.5124
          55        0.5099
          56        0.5106
          57        0.5077
          58        0.5146
          59         0.516
          60        0.5101
          61        0.5089
          62        0.5133
          63        0.5115
          64        0.5146
          65        0.5076
          66        0.5195
          67        0.5175
          68        0.5086
          69        0.5169
          70        0.5108
          71        0.5019
          72        0.5098
          73        0.5174
          74        0.5087
          75        0.5037
          76        0.5051
          77        0.5074
          78        0.5148
          79        0.5142
          80        0.5123
          81        0.5131
          82        0.5094
          83         0.511
          84        0.5146
          85        0.5024
          86        0.5168
          87        0.5166
          88        0.5112
          89        0.5142
          90        0.5146
          91        0.5124
          92        0.5057
          93        0.5118
          94        0.5017
          95        0.5153
          96        0.5063
          97        0.5138
          98        0.5136
          99        0.5142
